Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
30,"Allen, Scott",22y 149d,14 (3-0-11 21.43%),8 (0.57),←,
17,"Brown, Nathan",19y 138d,7 (4-0-3 57.14%),3 (0.43),←,
43,"Contessa, Adam",20y 181d,1 (1-0-0 100.00%),,←,
12,"Cook, James",23y 172d,35 (21-0-14 60.00%),47 (1.34),10 (5-0-5 50.00%),12 (1.20)
16,"Croft, Matthew",24y 122d,54 (30-2-22 57.41%),28 (0.52),←,
14,"Darcy, Luke",21y 351d,37 (15-1-21 41.89%),30 (0.81),←,
21,"Dent, Matthew",25y 162d,58 (11-0-47 18.97%),11 (0.19),11 (7-0-4 63.64%),2 (0.18)
28,"Dimattina, Paul",22y 218d,22 (12-0-10 54.55%),9 (0.41),←,
32,"Ellis, Craig",22y 24d,35 (17-0-18 48.57%),,←,
3,"Grant, Chris",24y 197d,156 (79-3-74 51.60%),291 (1.87),←,
9,"Hudson, Paul",26y 343d,146 (88-0-58 60.27%),282 (1.93),12 (8-0-4 66.67%),18 (1.50)
6,"Johnson, Brad",20y 345d,65 (28-2-35 44.62%),40 (0.62),←,
2,"Kolyniuk, Steven",26y 358d,133 (67-1-65 50.75%),139 (1.05),←,
35,"Kretiuk, Steven",24y 359d,66 (35-1-30 53.79%),9 (0.14),←,
39,"Liberatore, Tony",31y 137d,186 (97-3-86 52.96%),88 (0.47),←,
1,"Minton-Connell, Simon",28y 63d,100 (29-0-71 29.00%),292 (2.92),13 (9-0-4 69.23%),40 (3.08)
36,"Romero, Jose",25y 331d,139 (71-1-67 51.44%),122 (0.88),50 (22-1-27 45.00%),24 (0.48)
5,"Smith, Rohan",24y 28d,88 (44-2-42 51.14%),52 (0.59),←,
8,"Southern, Daniel",22y 178d,55 (26-1-28 48.18%),9 (0.16),←,
7,"West, Scott",22y 226d,91 (44-1-46 48.90%),38 (0.42),←,
15,"Wynd, Scott",27y 154d,159 (77-3-79 49.37%),26 (0.16),←,
Totals,Totals,24y 80d,1647 (799-21-827 48.51%),1524 (0.93),,
C,"Wallace, Terry",38y 197d,23 (12-0-11 52.17%),,←,
