Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",7,4,6,13,,,4.0,1.0,,,,,2.0,,,,,,,,,,
14,"Armstrong, Matt",9,1,1,10,,,,2.0,,,,,1.0,,,,,,,,,,
18,"Blakey, John",7,2,5,12,1,,1.0,,,,,,1.0,1.0,,,,,,,,,
17,"Broderick, Paul",15,4,16,31,2,2.0,,3.0,,,,,,1.0,,,,,,,,,
22,"Caven, Peter",11,6,2,13,,,1.0,4.0,,,,,,3.0,,,,,,,,,
2,"Dundas, Matthew",20,3,10,30,1,1.0,,2.0,,,,,3.0,2.0,3.0,,,,,,,,
28,"Elliott, Jamie",4,1,4,8,1,,,,,,,,1.0,2.0,,,,,,,,,
7,"Gale, Michael",8,5,13,21,1,1.0,,1.0,,,,,,,,,,,,,,,
6,"Guard, Jeremy",7,2,2,9,,,,2.0,,,,,1.0,1.0,,,,,,,,,
11,"Lynch, Alastair",7,3,2,9,,,,,,,,,2.0,1.0,,,,,,,,,
29,"Lyon, Ross",12,4,4,16,1,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"McCormack, Brendan",18,4,12,30,,,,2.0,,,,,2.0,1.0,2.0,,,,,,,,
21,"Morrish, Paul",13,5,5,18,,,,4.0,,,,,2.0,,,,,,,,,,
44,"Osborne, Richard",16,10,3,19,7,6.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,
4,"Paxman, Stephen",14,9,10,24,1,,4.0,1.0,,,,,4.0,1.0,,,,,,,,,
1,"Roos, Paul",20,11,5,25,2,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
3,"Seecamp, Marcus",5,2,14,19,,,,2.0,,,,,1.0,,,,,,,,,,
33,"Stephens, Brett",18,7,7,25,2,,,,,,,,5.0,,,,,,,,,,
12,"Wheildon, Darren",9,5,7,16,3,,,2.0,,,,,3.0,1.0,,,,,,,,,
8,"Wynd, Jim",15,3,2,17,,1.0,,,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,235,91,130,365,22,18.0,10.0,31.0,,,,,33.0,19.0,6.0,,,,,,,,
Opposition,Opposition,186,68,99,285,15,8.0,26.0,19.0,,,,,19.0,33.0,,,,,,,,,
