Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Allan, Matthew",29y 198d,160 (86-0-74 53.75%),73 (0.46),20 (11-0-9 55.00%),1 (0.05)
23,"Bolton, Mark",25y 161d,82 (48-1-33 59.15%),33 (0.40),←,
37,"Bullen, Marcus",22y 61d,37 (23-0-14 62.16%),9 (0.24),←,
13,"Cupido, Damian",22y 184d,42 (24-0-18 57.14%),60 (1.43),29 (17-0-12 58.62%),44 (1.52)
31,"Fletcher, Dustin",29y 127d,224 (154-3-67 69.42%),60 (0.27),←,
19,"Hille, David",23y 101d,72 (42-0-30 58.33%),57 (0.79),←,
5,"Hird, James",31y 220d,206 (130-5-71 64.32%),299 (1.45),←,
14,"Johnson, Jason",26y 230d,129 (87-1-41 67.83%),80 (0.62),←,
1,"Johnson, Mark",26y 111d,130 (91-1-38 70.38%),47 (0.36),←,
18,"Lloyd, Matthew",26y 148d,189 (119-2-68 63.49%),695 (3.68),←,
25,"Lucas, Scott",26y 256d,181 (115-1-65 63.81%),252 (1.39),←,
10,"McVeigh, Mark",23y 229d,99 (60-1-38 61.11%),39 (0.39),←,
2,"Mercuri, Mark",30y 203d,207 (138-3-66 67.39%),242 (1.17),←,
28,"Murphy, Justin",28y 140d,168 (76-0-92 45.24%),147 (0.88),23 (13-0-10 56.52%),24 (1.04)
11,"Peverill, Damien",25y 61d,77 (45-1-31 59.09%),17 (0.22),←,
9,"Ramanauskas, Adam",23y 297d,108 (74-1-33 68.98%),53 (0.49),←,
20,"Richards, Ted",21y 244d,23 (14-0-9 60.87%),16 (0.70),←,
7,"Solomon, Dean",24y 246d,122 (84-0-38 68.85%),48 (0.39),←,
34,"Stanton, Brent",18y 133d,15 (6-0-9 40.00%),6 (0.40),←,
4,"Watson, Jobe",19y 216d,8 (5-0-3 62.50%),6 (0.75),←,
6,"Wellman, Sean",29y 357d,212 (128-3-81 61.08%),34 (0.16),178 (115-2-61 65.17%),25 (0.14)
12,"Welsh, Andrew",21y 213d,59 (32-1-26 55.08%),6 (0.10),←,
Totals,Totals,25y 122d,2550 (1581-24-945 62.00%),2279 (0.89),,
C,"Sheedy, Kevin",56y 262d,569 (365-6-198 64.67%),,←,
