Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",7,6,3,10,,,,6.0,,,,3.0,1.0,,,3.0,10.0,,,7.0,1.0,,83.0
47,"Austin, Mark",3,3,8,11,,,,1.0,2.0,,,2.0,1.0,1.0,,8.0,4.0,1.0,,6.0,,,93.0
5,"Boyd, Matthew",13,4,16,29,1,,,2.0,3.0,3.0,2.0,4.0,,1.0,,8.0,20.0,,1.0,2.0,,1.0,94.0
17,"Cooney, Adam",10,2,10,20,,,,1.0,,3.0,2.0,,2.0,,,9.0,11.0,1.0,,,1.0,1.0,86.0
4,"Cross, Daniel",15,7,16,31,,,,6.0,4.0,1.0,3.0,,2.0,,,7.0,21.0,,,,,,91.0
40,"Dahlhaus, Luke",7,,5,12,,2.0,,3.0,1.0,1.0,1.0,1.0,,,,6.0,6.0,,,,,,87.0
33,"Djerrkura, Nathan",7,5,5,12,,,,2.0,1.0,2.0,,,1.0,,,3.0,9.0,,1.0,1.0,,,81.0
13,"Giansiracusa, Daniel",8,3,3,11,3,,,,,4.0,,1.0,2.0,,,8.0,3.0,1.0,1.0,,,,90.0
16,"Griffen, Ryan",25,5,8,33,2,2.0,,7.0,3.0,12.0,8.0,1.0,1.0,,2.0,16.0,19.0,1.0,1.0,2.0,3.0,2.0,82.0
25,"Hargrave, Ryan",14,11,10,24,1,1.0,,,4.0,4.0,,4.0,1.0,3.0,,3.0,20.0,1.0,1.0,7.0,1.0,,93.0
7,"Higgins, Shaun",12,5,5,17,2,,,4.0,1.0,3.0,,2.0,1.0,1.0,,5.0,12.0,,1.0,1.0,2.0,,85.0
19,"Jones, Liam",6,3,5,11,,,1.0,1.0,,,,4.0,1.0,1.0,,5.0,6.0,,,2.0,,,82.0
36,"Lake, Brian",14,9,6,20,1,,,3.0,4.0,,,2.0,2.0,,,6.0,12.0,1.0,,2.0,,,95.0
21,"Liberatore, Tom",12,3,12,24,,,,4.0,3.0,5.0,5.0,1.0,1.0,,,14.0,11.0,,,1.0,,,71.0
27,"Minson, Will",7,4,6,13,,,33.0,5.0,3.0,2.0,6.0,,,,,7.0,5.0,1.0,,2.0,,1.0,86.0
2,"Murphy, Robert",11,2,13,24,,,,4.0,2.0,1.0,2.0,7.0,,1.0,,7.0,17.0,,,4.0,,,92.0
42,"Picken, Liam",3,,9,12,,1.0,,8.0,1.0,,,1.0,2.0,1.0,,6.0,6.0,,,4.0,,,86.0
23,"Roughead, Jordan",6,4,6,12,,,16.0,2.0,1.0,1.0,1.0,,1.0,,,7.0,5.0,,,2.0,,,81.0
11,"Sherman, Justin",12,5,12,24,,1.0,,4.0,1.0,2.0,4.0,,,,,10.0,13.0,,1.0,1.0,,,79.0
8,"Veszpremi, Patrick",8,3,9,17,,1.0,,3.0,1.0,1.0,,,2.0,,,9.0,8.0,1.0,,,,,73.0
3 ↑,"Wallis, Mitch",3,,4,7,,,,2.0,1.0,1.0,4.0,1.0,,1.0,,4.0,3.0,,,1.0,,,30.0
10 ↓,"Wood, Easton",8,5,11,19,1,,,1.0,2.0,5.0,,1.0,,1.0,,5.0,13.0,2.0,,5.0,2.0,2.0,60.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,89,182,393,11,11.0,50.0,69.0,38.0,51.0,38.0,35.0,21.0,11.0,2.0,156.0,234.0,10.0,7.0,50.0,10.0,7.0,
Opposition,Opposition,209,71,166,375,15,8.0,36.0,79.0,37.0,55.0,44.0,51.0,11.0,21.0,4.0,164.0,209.0,10.0,10.0,52.0,12.0,8.0,
