Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 77d,21 (12-0-9 57.14%),17 (0.81),←,
10,"Ashcroft, Marcus",24y 229d,134 (42-1-91 31.72%),79 (0.59),←,
17,"Bartlett, Trent",19y 167d,15 (10-0-5 66.67%),1 (0.07),←,
25,"Bews, Andrew",31y 297d,251 (131-1-119 52.39%),134 (0.53),44 (21-0-23 47.73%),2 (0.05)
1,"Champion, Richard",28y 27d,101 (33-1-67 33.17%),34 (0.34),←,
16,"Clarke, Matthew",22y 236d,51 (25-0-26 49.02%),6 (0.12),←,
14,"Dickfos, Danny",25y 224d,7 (6-0-1 85.71%),,←,
8,"Gowers, Andrew",27y 30d,111 (69-0-42 62.16%),55 (0.50),22 (10-0-12 45.45%),1 (0.05)
32,"Hart, Shaun",24y 360d,89 (28-1-60 32.02%),68 (0.76),←,
27,"Keating, Clark",20y 53d,2 (2-0-0 100.00%),,←,
41,"Kennedy, Matthew",26y 97d,96 (29-0-67 30.21%),23 (0.24),←,
18,"Lambert, Craig",27y 219d,159 (50-0-109 31.45%),68 (0.43),36 (17-0-19 47.22%),15 (0.42)
44,"Lappin, Nigel",19y 325d,43 (21-0-22 48.84%),31 (0.72),←,
23,"Leppitsch, Justin",20y 223d,31 (14-0-17 45.16%),29 (0.94),←,
11,"Lynch, Alastair",27y 327d,139 (54-0-85 38.85%),227 (1.63),19 (10-0-9 52.63%),54 (2.84)
42,"Lynch, Tristan",22y 263d,6 (5-0-1 83.33%),1 (0.17),←,
4,"McRae, Craig",22y 232d,26 (13-0-13 50.00%),34 (1.31),←,
24,"Merrett, Roger",36y 22d,300 (143-3-154 48.17%),420 (1.40),151 (46-1-104 30.79%),272 (1.80)
22,"Scott, Chris",20y 8d,40 (19-0-21 47.50%),19 (0.47),←,
3,"Voss, Michael",20y 309d,62 (27-0-35 43.55%),56 (0.90),←,
33,"White, Darryl",22y 334d,75 (29-1-45 39.33%),84 (1.12),←,
Totals,Totals,24y 124d,1759 (762-8-989 43.32%),1386 (0.79),,
C,"Northey, John",52y 317d,263 (134-2-127 51.33%),,7 (6-0-1 85.71%),
