Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
4,"Bishop, Matthew",24y 356d,30 (11-1-18 38.33%),4 (0.13),12 (4-1-7 37.50%),
7,"Burgoyne, Peter",22y 154d,61 (23-2-36 39.34%),49 (0.80),←,
25,"Carr, Josh",20y 63d,10 (3-1-6 35.00%),2 (0.20),←,
28,"Daniels, Stephen",23y 302d,56 (23-2-31 42.86%),2 (0.04),←,
17,"Dew, Stuart",20y 318d,47 (18-2-27 40.43%),46 (0.98),←,
19,"Dickie, Donald",28y 54d,55 (21-2-32 40.00%),19 (0.35),←,
8,"Francis, Fabian",26y 251d,80 (32-2-46 41.25%),35 (0.44),57 (25-2-30 45.61%),18 (0.32)
10,"Francou, Josh",25y 329d,79 (33-3-43 43.67%),43 (0.54),←,
31,"French, Barnaby",24y 219d,35 (13-1-21 38.57%),14 (0.40),←,
34,"Guerra, Brent",18y 33d,6 (3-0-3 50.00%),4 (0.67),←,
38,"James, Roger",24y 254d,48 (20-2-26 43.75%),24 (0.50),←,
9,"Lyle, Brayden",27y 117d,103 (47-3-53 47.09%),17 (0.17),77 (33-3-41 44.81%),12 (0.16)
33,"Mead, Darren",29y 94d,82 (35-3-44 44.51%),5 (0.06),←,
3,"Montgomery, Brett",27y 30d,77 (44-2-31 58.44%),67 (0.87),17 (4-1-12 26.47%),13 (0.76)
26,"Murray, Derek",20y 98d,9 (1-1-7 16.67%),4 (0.44),←,
14,"Paxman, Stephen",29y 210d,181 (55-2-124 30.94%),27 (0.15),79 (33-2-44 43.04%),9 (0.11)
27,"Poulton, Jared",23y 71d,21 (6-1-14 30.95%),5 (0.24),←,
2,"Primus, Matthew",25y 171d,78 (25-2-51 33.33%),26 (0.33),58 (24-2-32 43.10%),21 (0.36)
6,"Schofield, Jarrad",25y 153d,99 (53-1-45 54.04%),68 (0.69),36 (14-1-21 40.28%),34 (0.94)
24,"Stevens, Michael",19y 237d,8 (3-0-5 37.50%),1 (0.13),←,
16,"Tredrea, Warren",21y 190d,54 (22-1-31 41.67%),94 (1.74),←,
15,"Wilson, Michael",23y 223d,82 (35-3-44 44.51%),30 (0.37),←,
Totals,Totals,24y 79d,1301 (526-37-738 40.43%),586 (0.45),,
C,"Williams, Mark",41y 315d,40 (16-1-23 41.25%),,←,
