Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",23y 351d,38 (22-0-16 57.89%),58 (1.53),←,
6,"Broughton, Greg",24y 276d,45 (20-0-25 44.44%),9 (0.20),←,
30,"Clarke, Zac",21y 96d,13 (4-0-9 30.77%),,←,
15,"Crowley, Ryan",27y 119d,109 (55-0-54 50.46%),81 (0.74),←,
40,"de Boer, Matt",21y 114d,50 (23-0-27 46.00%),13 (0.26),←,
41,"Duffield, Paul",26y 147d,83 (37-0-46 44.58%),21 (0.25),←,
7,"Fyfe, Nat",19y 287d,32 (19-0-13 59.38%),26 (0.81),←,
12,"Griffin, Jonathon",25y 169d,46 (23-0-23 50.00%),11 (0.24),5 (2-0-3 40.00%),4 (0.80)
14,"Grover, Antoni",31y 113d,194 (85-0-109 43.81%),25 (0.13),←,
43,"Hayden, Roger",30y 205d,127 (67-0-60 52.76%),14 (0.11),←,
32,"Hill, Stephen",21y 62d,59 (28-0-31 47.46%),39 (0.66),←,
5,"Ibbotson, Garrick",23y 109d,72 (28-0-44 38.89%),18 (0.25),←,
37,"Johnson, Michael",26y 255d,117 (59-0-58 50.43%),46 (0.39),←,
34,"Lower, Nick",24y 9d,33 (14-0-19 42.42%),6 (0.18),13 (7-0-6 53.85%),6 (0.46)
23,"Mayne, Chris",22y 242d,50 (26-0-24 52.00%),55 (1.10),←,
18,"McPharlin, Luke",29y 213d,182 (90-0-92 49.45%),113 (0.62),170 (82-0-88 48.24%),110 (0.65)
25,"Mellington, Josh",18y 185d,2 (2-0-0 100.00%),1 (0.50),←,
13,"Mzungu, Tendai",25y 124d,6 (3-0-3 50.00%),6 (1.00),←,
10,"Palmer, Rhys",22y 139d,49 (20-0-29 40.82%),22 (0.45),←,
29,"Pavlich, Matthew",29y 183d,250 (111-0-139 44.40%),486 (1.94),←,
24,"Roberton, Dylan",20y 11d,23 (14-0-9 60.87%),4 (0.17),←,
36,"Silvagni, Alex",23y 276d,17 (12-0-5 70.59%),4 (0.24),←,
Totals,Totals,24y 184d,1597 (762-0-835 47.71%),1058 (0.66),,
C,"Harvey, Mark",46y 21d,89 (38-0-51 42.70%),,←,
