Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",20y 292d,39 (20-1-18 52.56%),2 (0.05),←,
5,"Bruhn, Tanner",19y 317d,17 (7-0-10 41.18%),5 (0.29),←,
3,"Coniglio, Stephen",28y 115d,160 (73-1-86 45.94%),87 (0.54),←,
13,"Cumming, Isaac",23y 241d,38 (18-1-19 48.68%),1 (0.03),←,
24,"de Boer, Matt",32y 30d,215 (122-5-88 57.91%),80 (0.37),77 (44-4-29 59.74%),32 (0.42)
12,"Green, Tom",21y 76d,28 (13-1-14 48.21%),14 (0.50),←,
37,"Hill, Bobby",22y 59d,34 (15-1-18 45.59%),28 (0.82),←,
27,"Himmelberg, Harry",25y 336d,109 (63-2-44 58.72%),137 (1.26),←,
23,"Hogan, Jesse",27y 56d,102 (47-0-55 46.08%),194 (1.90),12 (6-0-6 50.00%),24 (2.00)
39,"Idun, Connor",21y 254d,30 (14-1-15 48.33%),,←,
25,"Keeffe, Lachlan",31y 360d,82 (45-0-37 54.88%),16 (0.20),42 (20-0-22 47.62%),9 (0.21)
22,"Kelly, Josh",27y 56d,159 (86-3-70 55.03%),101 (0.64),←,
40,"Kennedy, Adam",29y 271d,132 (54-1-77 41.29%),13 (0.10),←,
33,"OHalloran, Xavier",21y 272d,23 (11-1-11 50.00%),6 (0.26),←,
20,"Peatling, James",21y 231d,6 (3-0-3 50.00%),,←,
36,"Perryman, Harry",23y 111d,74 (37-1-36 50.68%),19 (0.26),←,
11,"Preuss, Braydon",26y 297d,20 (5-0-15 25.00%),9 (0.45),2 (1-0-1 50.00%),
26,"Riccardi, Jake",22y 153d,17 (8-0-9 47.06%),11 (0.65),←,
42,"Stein, Jake",28y 82d,13 (8-1-4 65.38%),,←,
14,"Taranto, Tim",24y 71d,102 (57-2-43 56.86%),45 (0.44),←,
15,"Taylor, Sam",22y 339d,57 (34-0-23 59.65%),1 (0.02),←,
8,"Ward, Callan",31y 364d,252 (113-4-135 45.63%),126 (0.50),192 (81-4-107 43.23%),93 (0.48)
6,"Whitfield, Lachie",27y 265d,171 (84-4-83 50.29%),64 (0.37),←,
Totals,Totals,25y 123d,1880 (937-30-913 49.84%),959 (0.51),,
C,"Cameron, Leon",49y 219d,188 (100-4-84 54.26%),,←,
