Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",5,,6,11,1,1.0,,4.0,,5.0,,7.0,,2.0,,6.0,5.0,,,2.0,,1.0,69.0
29,"Bowes, Jack",9,4,6,15,,1.0,,3.0,4.0,,1.0,3.0,3.0,2.0,,7.0,7.0,,,3.0,,,77.0
12,"Day, Sam",8,6,4,12,,1.0,9.0,1.0,2.0,,2.0,1.0,1.0,,,5.0,8.0,1.0,1.0,4.0,,,84.0
8,"Fiorini, Brayden",15,4,5,20,,1.0,,1.0,2.0,1.0,3.0,4.0,2.0,,,9.0,11.0,,,1.0,,,72.0
33,"Hall, Aaron",14,4,6,20,,1.0,,4.0,3.0,4.0,2.0,1.0,,,,6.0,14.0,,,1.0,1.0,,70.0
5,"Harbrow, Jarrod",11,2,6,17,,,,3.0,5.0,,1.0,3.0,1.0,1.0,,6.0,10.0,,,3.0,,,89.0
39,"Holman, Nick",6,2,9,15,,,,11.0,3.0,2.0,2.0,2.0,1.0,1.0,,11.0,4.0,,,2.0,,,79.0
38,"Joyce, Jesse",12,6,4,16,,,,3.0,3.0,3.0,,3.0,,1.0,,4.0,12.0,,,5.0,,1.0,89.0
10,"Kolodjashnij, Kade",13,3,4,17,,,,4.0,4.0,2.0,,5.0,1.0,,,4.0,11.0,1.0,,2.0,3.0,,88.0
19,"Lynch, Tom",16,4,5,21,8,1.0,,4.0,,4.0,,,4.0,,3.0,10.0,12.0,1.0,3.0,1.0,2.0,2.0,97.0
25,"Lyons, Jarryd",27,2,9,36,1,,,6.0,4.0,10.0,14.0,4.0,2.0,1.0,2.0,26.0,8.0,,,,,3.0,80.0
44,"Macpherson, Darcy",13,7,2,15,1,,,10.0,,4.0,,6.0,,4.0,,4.0,9.0,1.0,2.0,1.0,,,85.0
4,"Martin, Jack",12,2,3,15,3,1.0,,6.0,3.0,,2.0,3.0,3.0,2.0,,9.0,7.0,1.0,,,,,79.0
17,"May, Steven",8,7,5,13,,,1.0,3.0,6.0,,,2.0,1.0,2.0,,2.0,9.0,,,10.0,,,93.0
11,"Miller, Touk",5,5,12,17,,1.0,,8.0,,,4.0,6.0,,2.0,,7.0,9.0,,1.0,2.0,,,83.0
35,"Rischitelli, Michael",10,4,4,14,,,,3.0,4.0,3.0,1.0,3.0,,1.0,,5.0,10.0,,,2.0,,,83.0
6,"Sexton, Alex",5,2,4,9,,,,4.0,,4.0,1.0,2.0,1.0,1.0,,6.0,4.0,,,5.0,,3.0,79.0
24,"Swallow, David",13,5,11,24,,,,8.0,2.0,2.0,6.0,1.0,2.0,1.0,,15.0,11.0,,,,,,76.0
16,"Thompson, Rory",5,3,2,7,,,,,4.0,,,4.0,,2.0,,5.0,2.0,1.0,,4.0,,,76.0
14,"Weller, Lachie",3,1,11,14,,,,2.0,3.0,,1.0,4.0,,2.0,,6.0,9.0,,,,4.0,,86.0
28,"Witts, Jarrod",7,2,6,13,,,48.0,3.0,3.0,5.0,6.0,1.0,2.0,1.0,,9.0,4.0,,,4.0,,,83.0
15,"Young, Aaron",4,2,5,9,1,,,2.0,,1.0,,3.0,,,,4.0,5.0,,1.0,4.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,221,77,129,350,15,11.0,58.0,93.0,55.0,50.0,46.0,68.0,24.0,26.0,5.0,166.0,181.0,6.0,8.0,56.0,10.0,10.0,
Opposition,Opposition,231,86,156,387,9,13.0,19.0,67.0,33.0,67.0,37.0,64.0,26.0,24.0,1.0,160.0,227.0,9.0,8.0,56.0,11.0,4.0,
