West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
35,"Armstrong, Steven",24y 91d,66 (39-0-27 59.09%),40 (0.61),23 (17-0-6 73.91%),19 (0.83)
10,"Braun, Michael",30y 19d,214 (120-2-92 56.54%),63 (0.29),←,
20,"Cox, Dean",26y 255d,149 (85-1-63 57.38%),75 (0.50),←,
23,"Glass, Darren",26y 334d,149 (84-2-63 57.05%),8 (0.05),←,
29,"Hansen, Ashley",25y 40d,58 (45-0-13 77.59%),71 (1.22),←,
39,"Hunter, Adam",26y 299d,136 (79-2-55 58.82%),70 (0.51),←,
25,"Hurn, Shannon",20y 221d,34 (19-0-15 55.88%),13 (0.38),←,
38,"Jones, Brett",25y 250d,73 (49-0-24 67.12%),4 (0.05),←,
4,"Kerr, Daniel",24y 332d,148 (83-2-63 56.76%),85 (0.57),←,
21,"Lynch, Quinten",25y 79d,110 (71-0-39 64.55%),175 (1.59),←,
13,"Masten, Chris",18y 346d,2 (0-0-2 0.00%),,←,
27,"McKinley, Ben",21y 39d,3 (0-0-3 0.00%),8 (2.67),←,
12,"McNamara, Jamie",20y 37d,3 (1-0-2 33.33%),,←,
6,"Nicoski, Mark",24y 140d,53 (33-0-20 62.26%),18 (0.34),←,
24,"Rosa, Matt",21y 141d,42 (27-0-15 64.29%),13 (0.31),←,
14,"Seaby, Mark",23y 347d,87 (60-0-27 68.97%),60 (0.69),←,
37,"Selwood, Adam",23y 347d,78 (51-0-27 65.38%),17 (0.22),←,
28,"Selwood, Scott",18y 16d,2 (0-0-2 0.00%),,←,
30,"Spangher, Matthew",20y 355d,1 (0-0-1 0.00%),,←,
41,"Staker, Brent",23y 325d,94 (60-1-33 64.36%),68 (0.72),←,
5,"Stenglein, Tyson",27y 271d,179 (108-0-71 60.34%),48 (0.27),73 (52-0-21 71.23%),22 (0.30)
8,"Waters, Beau",22y 13d,57 (40-0-17 70.18%),12 (0.21),←,
Totals,Totals,23y 278d,1738 (1054-10-674 60.64%),848 (0.49),,
C,"Worsfold, John",39y 200d,148 (91-2-55 62.16%),,←,
