Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
31,"Ball, Matthew",22y 69d,3 (0-0-3 0.00%),1 (0.33),←,
20,"Beaumont, Simon",28y 139d,158 (73-0-85 46.20%),90 (0.57),6 (1-0-5 16.67%),1 (0.17)
30,"Brown, Campbell",20y 246d,28 (11-0-17 39.29%),21 (0.75),←,
35,"Cox, Adrian",23y 235d,50 (26-0-24 52.00%),24 (0.48),←,
9,"Crawford, Shane",29y 234d,228 (114-2-112 50.44%),180 (0.79),←,
24,"Croad, Trent",24y 52d,127 (65-1-61 51.57%),140 (1.10),89 (45-1-43 51.12%),80 (0.90)
19,"Dixon, Ben",26y 321d,137 (73-1-63 53.65%),189 (1.38),←,
1,"Everitt, Peter",29y 363d,200 (81-2-117 41.00%),328 (1.64),20 (8-0-12 40.00%),28 (1.40)
34,"Graham, Mark",31y 48d,209 (100-2-107 48.33%),60 (0.29),←,
2,"Holland, Nick",29y 276d,167 (78-2-87 47.31%),233 (1.40),←,
37,"Lekkas, Angelo",27y 306d,155 (70-1-84 45.48%),102 (0.66),←,
12,"Lonie, Nathan",21y 57d,39 (16-0-23 41.03%),19 (0.49),←,
7,"McCabe, Luke",27y 264d,137 (64-1-72 47.08%),12 (0.09),←,
5,"Mitchell, Sam",21y 201d,36 (18-0-18 50.00%),8 (0.22),←,
40,"Osborne, Michael",21y 276d,26 (10-0-16 38.46%),5 (0.19),←,
13,"Picioane, Lance",23y 328d,55 (28-0-27 50.91%),22 (0.40),51 (27-0-24 52.94%),20 (0.39)
16,"Ries, Nick",21y 291d,44 (22-0-22 50.00%),13 (0.30),←,
11,"Smith, Joel",26y 363d,149 (75-1-73 50.67%),78 (0.52),91 (46-1-44 51.10%),27 (0.30)
4,"Tallis, Rayden",28y 326d,157 (74-0-83 47.13%),26 (0.17),←,
23,"Thompson, Nathan",26y 76d,106 (54-1-51 51.42%),167 (1.58),←,
21,"Vandenberg, Richard",27y 107d,89 (42-1-46 47.75%),38 (0.43),←,
6,"Williams, Mark",21y 17d,18 (7-0-11 38.89%),23 (1.28),←,
Totals,Totals,25y 209d,2318 (1101-15-1202 47.50%),1779 (0.77),,
C,"Schwab, Peter",43y 221d,98 (51-0-47 52.04%),,←,
