Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",29y 208d,134 (64-1-69 48.13%),68 (0.51),←,
7,"Buckley, Dylan",23y 123d,32 (8-0-24 25.00%),9 (0.28),←,
9,"Cripps, Patrick",21y 121d,38 (10-1-27 27.63%),12 (0.32),←,
30,"Curnow, Charlie",19y 165d,5 (1-0-4 20.00%),4 (0.80),←,
35,"Curnow, Ed",26y 253d,104 (45-2-57 44.23%),14 (0.13),←,
15,"Docherty, Sam",22y 274d,64 (21-1-42 33.59%),10 (0.16),51 (15-1-35 30.39%),9 (0.18)
4,"Gibbs, Bryce",27y 124d,203 (88-2-113 43.84%),118 (0.58),←,
32,"Graham, Nick",22y 35d,23 (7-0-16 30.43%),5 (0.22),←,
18,"Jaksch, Kristian",21y 284d,14 (2-0-12 14.29%),3 (0.21),7 (1-0-6 14.29%),1 (0.14)
11,"Kerridge, Sam",23y 82d,43 (19-0-24 44.19%),28 (0.65),16 (6-0-10 37.50%),5 (0.31)
8,"Kreuzer, Matthew",27y 65d,134 (64-0-70 47.76%),69 (0.51),←,
13,"Lamb, Jed",23y 272d,37 (15-0-22 40.54%),30 (0.81),15 (6-0-9 40.00%),13 (0.87)
34,"Phillips, Andrew",25y 14d,24 (4-0-20 16.67%),9 (0.38),10 (2-0-8 20.00%),4 (0.40)
20,"Plowman, Lachie",21y 310d,33 (10-0-23 30.30%),1 (0.03),13 (6-0-7 46.15%),
17,"Rowe, Sam",28y 241d,67 (22-1-44 33.58%),15 (0.22),←,
2,"Silvagni, Jack",18y 213d,3 (0-0-3 0.00%),2 (0.67),←,
6,"Simpson, Kade",32y 73d,258 (101-3-154 39.73%),127 (0.49),←,
19,"Sumner, Liam",22y 336d,24 (7-0-17 29.17%),14 (0.58),12 (5-0-7 41.67%),5 (0.42)
42,"Tuohy, Zach",26y 220d,114 (47-1-66 41.67%),37 (0.32),←,
23,"Weitering, Jacob",18y 237d,14 (4-0-10 28.57%),2 (0.14),←,
43,"White, Simon",28y 30d,70 (29-2-39 42.86%),12 (0.17),←,
46,"Wright, Matthew",26y 216d,110 (55-0-55 50.00%),79 (0.72),16 (6-0-10 37.50%),16 (1.00)
Totals,Totals,24y 160d,1548 (623-14-911 40.25%),668 (0.43),,
C,"Bolton, Brendon",37y 90d,21 (11-0-10 52.38%),,16 (6-0-10 37.50%),
