Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",24y 203d,129 (67-0-62 51.94%),115 (0.89),←,
17,"Bruce, Josh",28y 6d,115 (42-1-72 36.96%),172 (1.50),2 (0-0-2 0.00%),1 (0.50)
9,"Crozier, Hayden",26y 173d,110 (50-0-60 45.45%),45 (0.41),41 (19-0-22 46.34%),1 (0.02)
31,"Dale, Bailey",23y 328d,52 (24-0-28 46.15%),53 (1.02),←,
35,"Daniel, Caleb",23y 343d,93 (47-0-46 50.54%),27 (0.29),←,
5,"Dunkley, Josh",23y 157d,68 (36-0-32 52.94%),37 (0.54),←,
44,"English, Tim",22y 309d,31 (14-0-17 45.16%),9 (0.29),←,
43,"Gardner, Ryan",23y 13d,4 (1-0-3 25.00%),2 (0.50),←,
26,"Gowers, Billy",24y 4d,31 (11-0-20 35.48%),39 (1.26),←,
39,"Johannisen, Jason",27y 219d,128 (60-0-68 46.88%),41 (0.32),←,
46,"Jong, Lin",27y 10d,62 (31-0-31 50.00%),33 (0.53),←,
42,"Keath, Alex",28y 146d,32 (16-1-15 51.56%),1 (0.03),2 (0-0-2 0.00%),
27,"Lipinski, Patrick",21y 333d,33 (15-0-18 45.45%),23 (0.70),←,
22,"Lloyd, Sam",30y 103d,82 (42-0-40 51.22%),107 (1.30),25 (12-0-13 48.00%),38 (1.52)
11,"Macrae, Jack",25y 316d,143 (71-0-72 49.65%),35 (0.24),←,
33,"Naughton, Aaron",20y 197d,43 (20-0-23 46.51%),35 (0.81),←,
20,"Richards, Ed",20y 347d,42 (19-0-23 45.24%),18 (0.43),←,
6,"Smith, Bailey",19y 190d,25 (12-0-13 48.00%),11 (0.44),←,
1,"Suckling, Matt",31y 325d,173 (113-0-60 65.32%),83 (0.48),71 (38-0-33 53.52%),32 (0.45)
23,"Vandermeer, Laitham",21y 132d,1 (0-0-1 0.00%),1 (1.00),←,
3,"Wallis, Mitch",27y 234d,135 (60-0-75 44.44%),78 (0.58),←,
34,"Williams, Bailey",22y 248d,43 (19-0-24 44.19%),9 (0.21),←,
Totals,Totals,24y 297d,1575 (770-2-803 48.89%),974 (0.62),,
C,"Beveridge, Luke",49y 296d,118 (64-0-54 54.24%),,←,
