Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Biggs, Shane",12,4,6,18,,,,1.0,5.0,5.0,1.0,1.0,,1.0,,3.0,15.0,,,,,,84.0
4,"Bontempelli, Marcus",19,4,9,28,2,,1.0,5.0,1.0,6.0,8.0,1.0,2.0,,,15.0,13.0,1.0,,3.0,1.0,2.0,85.0
12,"Cordy, Zaine",2,2,5,7,,,,2.0,,,,1.0,1.0,1.0,,6.0,3.0,,,4.0,,,86.0
8 ↓,"Crameri, Stewart",4,3,4,8,1,,,1.0,,2.0,,3.0,,2.0,,3.0,6.0,1.0,,4.0,,,55.0
6,"Dahlhaus, Luke",12,2,14,26,1,,,4.0,2.0,6.0,5.0,5.0,2.0,3.0,,15.0,9.0,,1.0,1.0,1.0,2.0,86.0
35 ↑,"Daniel, Caleb",5,,4,9,1,1.0,,3.0,1.0,1.0,,,,,,1.0,6.0,,,,,,30.0
29,"Dickson, Tory",2,,7,9,1,,,4.0,,,,1.0,1.0,,,6.0,4.0,,,1.0,,2.0,79.0
44,"Goodes, Brett",5,2,6,11,1,,,2.0,,1.0,1.0,3.0,1.0,2.0,,4.0,7.0,,,2.0,,1.0,73.0
1,"Grant, Jarrad",5,2,10,15,,1.0,2.0,1.0,1.0,2.0,,1.0,,,,3.0,12.0,,,2.0,1.0,,82.0
30,"Hamling, Joel",3,3,3,6,,,1.0,1.0,1.0,1.0,,1.0,,,,4.0,2.0,2.0,,8.0,,,99.0
22,"Honeychurch, Mitch",5,3,7,12,1,,,3.0,,2.0,1.0,1.0,1.0,1.0,,4.0,8.0,,1.0,1.0,,,83.0
7,"Hunter, Lachie",12,2,8,20,,,,3.0,4.0,5.0,,2.0,,1.0,,5.0,17.0,,,,,1.0,90.0
39,"Johannisen, Jason",9,6,6,15,,,,3.0,2.0,5.0,1.0,2.0,,1.0,,3.0,12.0,1.0,1.0,2.0,1.0,,77.0
11,"Macrae, Jack",7,3,8,15,2,,2.0,8.0,1.0,1.0,2.0,,2.0,,,4.0,10.0,,,1.0,,1.0,88.0
42,"Picken, Liam",11,3,10,21,1,1.0,,1.0,3.0,5.0,1.0,2.0,,1.0,,7.0,14.0,,1.0,2.0,,,83.0
43,"Redpath, Jack",8,3,5,13,3,,10.0,2.0,,1.0,2.0,,1.0,,,9.0,3.0,2.0,1.0,,,,91.0
18,"Roberts, Fletcher",3,3,3,6,,,,,,,,3.0,1.0,2.0,,2.0,5.0,,,6.0,,,98.0
23,"Roughead, Jordan",5,2,3,8,1,,24.0,3.0,1.0,2.0,3.0,4.0,,4.0,,6.0,2.0,2.0,1.0,5.0,,,91.0
9,"Stringer, Jake",12,3,,12,4,2.0,,2.0,,3.0,2.0,3.0,,2.0,,2.0,8.0,,1.0,1.0,,2.0,94.0
3,"Wallis, Mitch",10,6,16,26,,1.0,,3.0,2.0,5.0,5.0,2.0,1.0,1.0,,14.0,11.0,,2.0,,1.0,,87.0
19,"Webb, Lukas",5,3,3,8,,,,2.0,,,,1.0,1.0,,,2.0,5.0,,,,,,71.0
10,"Wood, Easton",13,7,7,20,,,,1.0,7.0,1.0,,2.0,2.0,,,11.0,9.0,4.0,,2.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,66,144,313,19,8.0,40.0,55.0,31.0,54.0,32.0,39.0,16.0,22.0,,129.0,181.0,13.0,9.0,45.0,5.0,11.0,
Opposition,Opposition,238,110,203,441,19,16.0,52.0,60.0,33.0,61.0,53.0,51.0,22.0,16.0,6.0,157.0,285.0,12.0,21.0,45.0,8.0,13.0,
