Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
9,"Anthony, John",21y 243d,36 (23-0-13 63.89%),75 (2.08),←,
17,"Beams, Dayne",19y 219d,18 (11-0-7 61.11%),14 (0.78),←,
15,"Brown, Leigh",27y 208d,204 (94-1-109 46.32%),94 (0.46),23 (16-0-7 69.57%),10 (0.43)
32,"Cloke, Travis",22y 198d,100 (56-0-44 56.00%),117 (1.17),←,
1,"Davis, Leon",28y 94d,184 (94-0-90 51.09%),236 (1.28),←,
33,"Dick, Brad",21y 56d,22 (16-0-6 72.73%),26 (1.18),←,
4,"Didak, Alan",26y 216d,158 (90-0-68 56.96%),215 (1.36),←,
6,"Goldsack, Tyson",22y 120d,45 (25-0-20 55.56%),5 (0.11),←,
26,"Johnson, Ben",28y 167d,185 (98-0-87 52.97%),55 (0.30),←,
24,"Lockyer, Tarkyn",29y 324d,216 (108-0-108 50.00%),143 (0.66),←,
8,"Lumumba, Heritier",22y 308d,85 (50-0-35 58.82%),8 (0.09),←,
30,"Macaffer, Brent",21y 203d,5 (2-0-3 40.00%),4 (0.80),←,
5,"Maxwell, Nick",26y 108d,118 (66-0-52 55.93%),26 (0.22),←,
11,"OBree, Shane",30y 188d,240 (123-0-117 51.25%),84 (0.35),221 (114-0-107 51.58%),81 (0.37)
35,"Prestigiacomo, Simon",31y 231d,220 (99-0-121 45.00%),3 (0.01),←,
39,"Shaw, Heath",23y 296d,92 (52-0-40 56.52%),20 (0.22),←,
22,"Sidebottom, Steele",18y 260d,11 (7-0-4 63.64%),3 (0.27),←,
36,"Swan, Dane",25y 206d,125 (68-0-57 54.40%),77 (0.62),←,
13,"Thomas, Dale",22y 90d,85 (50-0-35 58.82%),68 (0.80),←,
34,"Toovey, Alan",22y 180d,41 (26-0-15 63.41%),6 (0.15),←,
21,"Wellingham, Sharrod",21y 74d,28 (18-0-10 64.29%),10 (0.36),←,
19,"Wood, Cameron",22y 199d,42 (18-0-24 42.86%),10 (0.24),26 (15-0-11 57.69%),10 (0.38)
Totals,Totals,24y 157d,2260 (1194-1-1065 52.83%),1299 (0.57),,
C,"Malthouse, Mick",56y 33d,613 (344-4-265 56.44%),,235 (121-0-114 51.49%),
