Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
18,"Betts, Eddie",27y 180d,193 (79-3-111 41.71%),306 (1.59),9 (4-0-5 44.44%),16 (1.78)
16,"Brown, Luke",21y 245d,33 (16-0-17 48.48%),2 (0.06),←,
42,"Cameron, Charlie",19y 324d,2 (1-0-1 50.00%),2 (1.00),←,
32,"Dangerfield, Patrick",24y 50d,118 (60-0-58 50.85%),136 (1.15),←,
26,"Douglas, Richard",27y 108d,142 (72-0-70 50.70%),103 (0.73),←,
41,"Hartigan, Kyle",22y 199d,10 (6-0-4 60.00%),,←,
24,"Jacobs, Sam",26y 45d,91 (45-0-46 49.45%),18 (0.20),74 (38-0-36 51.35%),15 (0.20)
10,"Jaensch, Matthew",24y 249d,54 (24-0-30 44.44%),22 (0.41),←,
4,"Jenkins, Josh",25y 106d,35 (19-0-16 54.29%),52 (1.49),←,
17,"Kerridge, Sam",21y 29d,21 (10-0-11 47.62%),17 (0.81),←,
29,"Laird, Rory",20y 147d,25 (13-0-12 52.00%),2 (0.08),←,
31,"Lyons, Jarryd",21y 307d,14 (7-0-7 50.00%),6 (0.43),←,
14,"Mackay, David",25y 304d,114 (65-0-49 57.02%),35 (0.31),←,
36,"Martin, Brodie",25y 200d,22 (10-0-12 45.45%),4 (0.18),←,
1,"Podsiadly, James",32y 257d,92 (66-0-26 71.74%),181 (1.97),9 (4-0-5 44.44%),12 (1.33)
25,"Rutten, Ben",30y 362d,221 (125-0-96 56.56%),8 (0.04),←,
9,"Sloane, Rory",24y 69d,87 (45-0-42 51.72%),53 (0.61),←,
33,"Smith, Brodie",22y 131d,63 (34-0-29 53.97%),12 (0.19),←,
12,"Talia, Daniel",22y 235d,63 (35-0-28 55.56%),4 (0.06),←,
5,"Thompson, Scott",31y 72d,254 (139-0-115 54.72%),149 (0.59),215 (121-0-94 56.28%),132 (0.61)
13,"Walker, Taylor",24y 30d,71 (36-0-35 50.70%),164 (2.31),←,
11,"Wright, Matthew",24y 162d,67 (34-0-33 50.75%),50 (0.75),←,
Totals,Totals,24y 306d,1792 (941-3-848 52.51%),1326 (0.74),,
C,"Sanderson, Brenton",40y 87d,56 (32-0-24 57.14%),,←,
