Notes,Previous,Current
Gold Coast's highest score,"69 v Melbourne - R4,2011","164 v Geelong - R11,2024"
Gold Coast's lowest score conceded,"122 v Western Bulldogs - R3,2011","23 v Richmond - R22,2025"
