Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
21,"Barlow, Michael",27y 219d,105 (71-1-33 68.10%),70 (0.67),←,
17,"Crozier, Hayden",21y 213d,29 (18-0-11 62.07%),23 (0.79),←,
9,"de Boer, Matt",25y 137d,126 (73-1-52 58.33%),44 (0.35),←,
7,"Fyfe, Nat",23y 310d,108 (71-1-36 66.20%),94 (0.87),←,
12,"Griffin, Jonathon",29y 192d,71 (39-0-32 54.93%),19 (0.27),30 (18-0-12 60.00%),12 (0.40)
32,"Hill, Stephen",25y 85d,144 (85-0-59 59.03%),94 (0.65),←,
5,"Ibbotson, Garrick",27y 132d,143 (77-1-65 54.20%),21 (0.15),←,
23,"Mayne, Chris",26y 265d,143 (87-1-55 61.19%),169 (1.18),←,
18,"McPharlin, Luke",33y 236d,252 (137-1-114 54.56%),115 (0.46),240 (129-1-110 53.96%),112 (0.47)
16,"Mundy, David",30y 5d,226 (128-1-97 56.86%),90 (0.40),←,
27,"Neale, Lachie",22y 62d,62 (41-0-21 66.13%),32 (0.52),←,
29,"Pavlich, Matthew",33y 206d,329 (163-0-166 49.54%),659 (2.00),←,
25,"Pearce, Alex",20y 46d,8 (7-0-1 87.50%),,←,
46,"Pearce, Clancee",24y 275d,93 (55-1-37 59.68%),35 (0.38),←,
6,"Pearce, Danyle",29y 109d,219 (107-2-110 49.32%),115 (0.53),65 (48-1-16 74.62%),39 (0.60)
31,"Sandilands, Aaron",32y 231d,232 (131-0-101 56.47%),87 (0.38),←,
11,"Sheridan, Tom",21y 270d,30 (23-0-7 76.67%),12 (0.40),←,
34,"Spurr, Lee",27y 363d,75 (58-1-16 78.00%),5 (0.07),←,
8,"Suban, Nick",25y 77d,121 (71-1-49 59.09%),50 (0.41),←,
33,"Sutcliffe, Cam",23y 63d,61 (46-1-14 76.23%),14 (0.23),←,
20,"Taberner, Matthew",22y 38d,26 (19-0-7 73.08%),21 (0.81),←,
10,"Walters, Michael",24y 199d,66 (46-1-19 70.45%),125 (1.89),←,
Totals,Totals,26y 103d,2669 (1553-14-1102 58.19%),1894 (0.71),,
C,"Lyon, Ross",48y 259d,210 (139-5-66 67.38%),,89 (63-1-25 71.35%),
