Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
5,"Ablett, Gary",32y 177d,185 (104-1-80 56.49%),713 (3.85),179 (99-1-79 55.59%),703 (3.93)
3,"Bairstow, Mark",30y 246d,128 (77-1-50 60.55%),157 (1.23),←,
6,"Barnes, John",24y 299d,44 (23-1-20 53.41%),21 (0.48),32 (17-0-15 53.13%),9 (0.28)
9,"Breuer, Shayne",21y 198d,1 (0-0-1 0.00%),1 (1.00),←,
40,"Brown, Paul",24y 325d,48 (31-0-17 64.58%),52 (1.08),←,
7,"Couch, Paul",29y 251d,185 (105-0-80 56.76%),156 (0.84),←,
28,"Darcy, Tim",30y 71d,156 (83-0-73 53.21%),65 (0.42),←,
33,"Forssman, Darren",23y 194d,36 (24-0-12 66.67%),26 (0.72),←,
14,"Handley, Steven",23y 247d,36 (23-0-13 63.89%),17 (0.47),←,
29,"Hinkley, Ken",27y 178d,94 (53-0-41 56.38%),64 (0.68),83 (49-0-34 59.04%),43 (0.52)
32,"Hocking, Garry",25y 170d,120 (68-1-51 57.08%),121 (1.01),←,
1,"Hocking, Steve",29y 68d,178 (96-0-82 53.93%),10 (0.06),←,
35,"Liddle, Cain",18y 289d,1 (0-0-1 0.00%),,←,
21,"Mansfield, Michael",22y 231d,50 (28-0-22 56.00%),39 (0.78),←,
17,"McGrath, Tim",23y 171d,53 (33-0-20 62.26%),,46 (29-0-17 63.04%),
31,"Mensch, David",21y 225d,17 (13-0-4 76.47%),26 (1.53),←,
20,"OReilly, Stephen",21y 138d,13 (7-0-6 53.85%),5 (0.38),←,
23,"Pickering, Liam",25y 199d,35 (16-0-19 45.71%),16 (0.46),13 (7-0-6 53.85%),8 (0.62)
15,"Riccardi, Peter",21y 100d,38 (25-0-13 65.79%),30 (0.79),←,
11,"Tudor, Leigh",24y 183d,22 (11-0-11 50.00%),17 (0.77),14 (8-0-6 57.14%),11 (0.79)
4,"Wills, Andrew",22y 83d,34 (24-0-10 70.59%),16 (0.47),←,
Totals,Totals,25y 1d,1474 (844-4-626 57.26%),1552 (1.05),,
C,"Blight, Malcolm",44y 39d,136 (79-0-57 58.09%),,120 (73-0-47 60.83%),
