Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",29y 113d,245 (149-4-92 61.63%),302 (1.23),207 (126-3-78 61.59%),258 (1.25)
20,"Black, Simon",27y 75d,181 (118-1-62 65.47%),121 (0.67),←,
36,"Bradshaw, Daniel",27y 208d,171 (101-2-68 59.65%),329 (1.92),168 (98-2-68 58.93%),329 (1.96)
17,"Brennan, Jared",21y 324d,31 (17-0-14 54.84%),22 (0.71),←,
19,"Charman, Jamie",23y 336d,83 (54-1-28 65.66%),30 (0.36),←,
30,"Copeland, Robert",25y 22d,100 (66-0-34 66.00%),19 (0.19),←,
4,"Fixter, Ben",24y 359d,39 (18-0-21 46.15%),9 (0.23),12 (4-0-8 33.33%),1 (0.08)
45,"Harding, Scott",19y 363d,6 (2-0-4 33.33%),,←,
43,"McDonald, Beau",26y 226d,83 (54-1-28 65.66%),19 (0.23),←,
9,"McGrath, Ashley",23y 28d,83 (48-1-34 58.43%),74 (0.89),←,
10,"Moody, Matthew",20y 267d,15 (5-0-10 33.33%),10 (0.67),←,
8,"Notting, Tim",27y 239d,146 (94-1-51 64.73%),111 (0.76),←,
41,"Pask, Martin",21y 166d,2 (0-0-2 0.00%),1 (0.50),←,
24,"Patfull, Joel",21y 192d,5 (2-0-3 40.00%),2 (0.40),←,
6,"Power, Luke",26y 160d,166 (105-1-60 63.55%),172 (1.04),←,
35,"Rischitelli, Michael",20y 160d,16 (6-0-10 37.50%),9 (0.56),←,
29,"Roe, Jason",22y 96d,7 (3-0-4 42.86%),2 (0.29),←,
5,"Scott, Brad",30y 45d,158 (91-2-65 58.23%),44 (0.28),136 (83-2-51 61.76%),38 (0.28)
28,"Selwood, Troy",22y 47d,25 (11-0-14 44.00%),3 (0.12),←,
11,"Sherman, Justin",19y 142d,31 (13-0-18 41.94%),19 (0.61),←,
32,"Stiller, Cheynee",20y 45d,3 (0-0-3 0.00%),1 (0.33),←,
3,"Voss, Michael",30y 345d,280 (164-2-114 58.93%),243 (0.87),201 (126-1-74 62.94%),171 (0.85)
Totals,Totals,24y 80d,1876 (1121-16-739 59.75%),1542 (0.82),,
C,"Matthews, Leigh",54y 108d,407 (245-6-156 60.93%),,183 (120-1-62 65.85%),
