St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
38 ↑,"Boxshall, Hugh",6,4,9,15,,,,3.0,1.0,,2.0,3.0,2.0,1.0,,9.0,7.0,,1.0,,,1.0,48.0
13,"Byrnes, Ryan",4,6,7,11,,,,,,,1.0,1.0,,,,3.0,8.0,,,,,,65.0
47,"Caminiti, Anthony",9,5,2,11,1,,1.0,1.0,3.0,,2.0,5.0,1.0,3.0,,4.0,6.0,,,7.0,,,98.0
11,"Clark, Hunter",13,6,7,20,,1.0,,6.0,1.0,5.0,2.0,3.0,,2.0,,7.0,13.0,1.0,1.0,,,1.0,78.0
4 ↓,"Collard, Lance",,,1,1,,,,,,1.0,,,,,,1.0,,,,1.0,,,19.0
40,"Hall, Max",7,2,12,19,,,,7.0,1.0,5.0,6.0,1.0,,,,9.0,10.0,,,2.0,2.0,5.0,81.0
24,"Hastie, Angus",5,3,5,10,,,,3.0,3.0,3.0,,1.0,1.0,,,2.0,8.0,,,1.0,,,79.0
1,"Higgins, Jack",9,8,1,10,4,,,2.0,1.0,,,1.0,,,,1.0,10.0,,4.0,,,1.0,88.0
8,"Hill, Bradley",12,5,3,15,1,1.0,,1.0,,3.0,1.0,3.0,,1.0,,2.0,12.0,,,1.0,,,88.0
3,"Jones, Zak",14,6,12,26,,,,1.0,2.0,4.0,3.0,2.0,,,,8.0,21.0,,,1.0,,,78.0
6,"Macrae, Jack",10,4,14,24,,,,6.0,1.0,1.0,5.0,,,,,7.0,17.0,,,1.0,,1.0,71.0
19,"Marshall, Rowan",9,3,6,15,,,30.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,,7.0,7.0,,1.0,1.0,,1.0,87.0
10,"Owens, Mitch",4,1,6,10,,,1.0,,,1.0,1.0,1.0,2.0,,,4.0,4.0,,,4.0,,,87.0
27,"Schoenmaker, Arie",9,8,2,11,,,,,7.0,2.0,,1.0,,1.0,,1.0,9.0,,,,,,72.0
43,"Sharman, Cooper",5,2,4,9,2,1.0,,1.0,,2.0,,2.0,1.0,2.0,,6.0,5.0,1.0,,1.0,,,81.0
35,"Sinclair, Jack",20,7,12,32,,,,5.0,4.0,3.0,,2.0,,,,4.0,21.0,,,1.0,,1.0,86.0
9,"Steele, Jack",3,1,10,13,1,,,5.0,,1.0,3.0,6.0,,4.0,,9.0,5.0,1.0,1.0,,,,71.0
14,"Stocker, Liam",7,2,5,12,,,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,,8.0,4.0,1.0,,3.0,,,84.0
26,"Tauru, Alix",3,2,2,5,1,,,1.0,1.0,,,2.0,1.0,1.0,,3.0,2.0,,1.0,5.0,,,79.0
7,"Wanganeen-Milera, Nasiah",25,5,9,34,4,1.0,,4.0,4.0,6.0,6.0,8.0,1.0,1.0,2.0,9.0,24.0,1.0,3.0,3.0,5.0,1.0,86.0
44,"Wilkie, Callum",12,7,1,13,,,,2.0,5.0,,1.0,1.0,1.0,,,1.0,12.0,,,4.0,,,100.0
2,"Windhager, Marcus",10,5,12,22,,,,3.0,1.0,3.0,3.0,3.0,1.0,,,10.0,13.0,,,,,,84.0
32,"Wood, Mason",8,4,9,17,1,1.0,,2.0,,1.0,1.0,1.0,1.0,,,9.0,10.0,1.0,2.0,3.0,,2.0,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,96,151,355,15,6.0,32.0,60.0,38.0,43.0,41.0,55.0,16.0,21.0,2.0,124.0,228.0,6.0,14.0,39.0,7.0,14.0,
Opposition,Opposition,205,98,113,318,13,12.0,58.0,76.0,28.0,52.0,40.0,43.0,21.0,15.0,4.0,124.0,196.0,13.0,15.0,40.0,4.0,10.0,
