Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Amon, Karl",1,1,,1,,,,1.0,,,,,,,,,1.0,,,,,,5.0
10,"Boak, Travis",17,6,16,33,,,,9.0,2.0,7.0,6.0,5.0,1.0,,2.0,13.0,19.0,,,2.0,,,90.0
26,"Bonner, Riley",15,,6,21,,,,1.0,5.0,6.0,2.0,4.0,1.0,,,7.0,12.0,,,3.0,3.0,,80.0
3,"Burton, Ryan",15,5,6,21,,,,2.0,6.0,3.0,,2.0,,,,6.0,13.0,,,4.0,,,79.0
18,"Butters, Zak",10,4,12,22,1,1.0,,1.0,1.0,2.0,1.0,5.0,1.0,3.0,,10.0,11.0,,,1.0,,2.0,86.0
33,"Byrne-Jones, Darcy",17,6,10,27,,1.0,,4.0,1.0,6.0,3.0,2.0,2.0,,,8.0,18.0,,1.0,3.0,,2.0,88.0
17,"Clurey, Tom",7,6,6,13,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,5.0,8.0,1.0,,7.0,,,94.0
28,"Drew, Willem",14,3,10,24,,,,5.0,1.0,5.0,3.0,,1.0,,,9.0,15.0,,,2.0,,,91.0
21,"Duursma, Xavier",14,9,9,23,,1.0,,2.0,1.0,3.0,4.0,3.0,2.0,,,6.0,16.0,,1.0,1.0,,1.0,89.0
7,"Ebert, Brad",16,7,7,23,3,1.0,,6.0,2.0,6.0,2.0,6.0,,3.0,,5.0,17.0,2.0,1.0,2.0,,,78.0
9,"Gray, Robbie",10,2,17,27,1,,,5.0,,4.0,7.0,2.0,3.0,1.0,,15.0,11.0,,1.0,,,,94.0
43,"Houston, Dan",15,3,6,21,,1.0,,3.0,3.0,2.0,,4.0,2.0,2.0,,8.0,12.0,1.0,1.0,3.0,,,91.0
42,"Jonas, Tom",9,7,8,17,,,,2.0,4.0,,,3.0,,1.0,,9.0,8.0,1.0,,10.0,,,94.0
29,"Lycett, Scott",10,5,13,23,1,,33.0,2.0,1.0,4.0,8.0,7.0,2.0,4.0,,16.0,9.0,1.0,,8.0,,,86.0
13,"Marshall, Todd",5,2,2,7,,,,3.0,,,,2.0,,1.0,,3.0,3.0,1.0,,,,,74.0
6,"Motlop, Steven",11,3,11,22,3,,,5.0,,1.0,,3.0,1.0,,,7.0,12.0,,2.0,1.0,1.0,1.0,83.0
2,"Powell-Pepper, Sam",7,3,14,21,2,1.0,,7.0,,1.0,3.0,2.0,,2.0,,11.0,11.0,1.0,1.0,1.0,1.0,,81.0
11,"Rockliff, Tom",23,5,14,37,,,,2.0,2.0,9.0,11.0,4.0,1.0,2.0,1.0,19.0,17.0,,,1.0,,,94.0
20,"Rozee, Connor",6,4,10,16,2,1.0,,3.0,1.0,3.0,2.0,4.0,2.0,2.0,,7.0,11.0,,2.0,2.0,,,84.0
4,"Ryder, Paddy",6,3,2,8,,,24.0,2.0,,3.0,2.0,1.0,1.0,1.0,,3.0,5.0,1.0,2.0,2.0,,2.0,87.0
23,"Watts, Jack",12,5,7,19,,,,2.0,7.0,,,6.0,3.0,3.0,,6.0,16.0,,,4.0,,,67.0
39,"Westhoff, Justin",12,4,2,14,,1.0,,3.0,2.0,3.0,1.0,2.0,,,,1.0,10.0,,1.0,2.0,,1.0,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,252,93,188,440,13,10.0,57.0,72.0,40.0,69.0,55.0,68.0,24.0,26.0,3.0,174.0,255.0,9.0,13.0,59.0,5.0,9.0,
Opposition,Opposition,219,61,128,347,11,6.0,30.0,61.0,53.0,52.0,34.0,73.0,26.0,24.0,3.0,162.0,163.0,13.0,8.0,54.0,,8.0,
