Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
16,"Bolton, David",29y 331d,106 (54-0-52 50.94%),54 (0.51),78 (40-0-38 51.28%),43 (0.55)
13,"Carter, Rod",35y 223d,290 (126-0-164 43.45%),1 (0.00),214 (103-0-111 48.13%),1 (0.00)
29,"Cordy, Neil",31y 62d,200 (80-0-120 40.00%),32 (0.16),61 (29-0-32 47.54%),4 (0.07)
6,"Eustice, Mark",27y 115d,124 (56-0-68 45.16%),53 (0.43),33 (15-0-18 45.45%),8 (0.24)
23,"Fell, Shane",22y 253d,10 (3-0-7 30.00%),25 (2.50),←,
3,"Healy, Gerard",29y 100d,208 (84-0-124 40.38%),274 (1.32),78 (43-0-35 55.13%),85 (1.09)
9,"Henwood, Wayne",27y 237d,59 (29-0-30 49.15%),25 (0.42),←,
47,"Higgins, Leon",21y 347d,42 (19-0-23 45.24%),35 (0.83),←,
46,"Kellett, Mark",29y 315d,148 (54-1-93 36.82%),10 (0.07),30 (15-0-15 50.00%),
45,"Kelly, Paul",20y 316d,5 (1-0-4 20.00%),,←,
18,"Lloyd, Matthew",24y 304d,15 (10-0-5 66.67%),1 (0.07),←,
10,"Mitchell, Barry",24y 184d,121 (59-0-62 48.76%),161 (1.33),←,
50,"Page, Brett",23y 277d,1 (0-0-1 0.00%),,←,
28,"Page, Glenn",20y 77d,2 (1-0-1 50.00%),2 (1.00),←,
17,"Potter, Craig",24y 141d,41 (22-0-19 53.66%),16 (0.39),←,
5,"Roberts, Ian",33y 67d,146 (64-0-82 43.84%),30 (0.21),←,
15,"Toohey, Bernard",27y 111d,191 (101-0-90 52.88%),96 (0.50),97 (54-0-43 55.67%),61 (0.63)
20,"West, Jim",24y 58d,11 (3-0-8 27.27%),15 (1.36),←,
21,"Wittey, David",24y 60d,25 (4-0-21 16.00%),,1 (0-0-1 0.00%),
26,"Wright, Stephen",29y 95d,209 (98-0-111 46.89%),225 (1.08),←,
Totals,Totals,26y 220d,1954 (868-1-1085 44.42%),1055 (0.54),,
C,"Kinnear, Col",42y 242d,33 (14-0-19 42.42%),,←,
