Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",9,5,2,11,,,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,,4.0,7.0,,,1.0,,,100.0
16,"Brown, Leigh",9,2,6,15,1,,11.0,4.0,,5.0,5.0,4.0,1.0,3.0,,7.0,6.0,,,5.0,,,97.0
2,"Colbert, Leigh",6,7,8,14,,,,2.0,2.0,,,,,,,3.0,10.0,,,5.0,2.0,,100.0
24,"Firrito, Michael",4,,3,7,,,,4.0,,2.0,3.0,,1.0,,,5.0,1.0,,,,,,64.0
6,"Grant, Shannon",10,2,5,15,2,,,2.0,1.0,6.0,2.0,3.0,2.0,1.0,,6.0,10.0,,,1.0,,,91.0
39,"Harding, Leigh",7,3,1,8,4,2.0,,1.0,1.0,2.0,,3.0,2.0,2.0,,4.0,3.0,1.0,2.0,2.0,2.0,,88.0
4,"Harris, Daniel",10,2,6,16,,,,6.0,2.0,2.0,5.0,1.0,1.0,,,11.0,5.0,,,1.0,,,81.0
29,"Harvey, Brent",12,3,3,15,2,3.0,,1.0,,4.0,1.0,,1.0,,,8.0,8.0,1.0,1.0,,1.0,,91.0
34,"King, David",7,2,1,8,,1.0,,2.0,4.0,3.0,1.0,1.0,,1.0,,,5.0,,,2.0,4.0,1.0,85.0
35,"Makepeace, Troy",8,1,1,9,,,,3.0,5.0,,,2.0,,1.0,,2.0,4.0,,,1.0,1.0,,100.0
5,"McKernan, Corey",4,1,1,5,,,6.0,,,1.0,3.0,,4.0,,,5.0,1.0,1.0,1.0,,,1.0,45.0
19,"Motlop, Daniel",3,2,3,6,,1.0,1.0,2.0,,2.0,,1.0,,1.0,,3.0,4.0,,1.0,,,,75.0
20,"Petrie, Drew",8,4,1,9,,2.0,1.0,2.0,,2.0,1.0,2.0,,,,4.0,5.0,2.0,2.0,,,,74.0
17,"Porter, Mark",2,1,2,4,,,10.0,1.0,,,,,,,,3.0,1.0,1.0,,1.0,,,25.0
3,"Rawlings, Brady",5,,4,9,,,,4.0,4.0,1.0,,,,,,3.0,4.0,,,3.0,,,100.0
26,"Rocca, Saverio",5,2,2,7,2,2.0,3.0,,,1.0,,1.0,,,,,6.0,,2.0,3.0,,2.0,100.0
32,"Sansbury, Eddie",3,1,3,6,,,,1.0,1.0,,,1.0,,1.0,,4.0,2.0,,,3.0,2.0,,60.0
7,"Simpson, Adam",13,2,9,22,,,2.0,8.0,,4.0,8.0,2.0,2.0,,1.0,17.0,6.0,1.0,,2.0,,1.0,97.0
10,"Stevens, Anthony",17,5,5,22,,,,,4.0,4.0,2.0,8.0,3.0,1.0,,9.0,14.0,,,1.0,4.0,,95.0
12,"Stevens, Michael",2,,2,4,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,1.0,,,1.0,,,46.0
36,"Watt, Shannon",3,2,3,6,,,,,3.0,,,1.0,1.0,,,2.0,3.0,,,8.0,,,100.0
8,"Wells, Daniel",9,2,5,14,1,,4.0,1.0,1.0,3.0,5.0,3.0,2.0,,,7.0,8.0,,,5.0,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,156,49,76,232,12,12.0,40.0,46.0,32.0,43.0,38.0,36.0,21.0,13.0,1.0,110.0,114.0,7.0,9.0,45.0,16.0,5.0,
Opposition,Opposition,168,90,114,282,14,10.0,25.0,39.0,30.0,44.0,32.0,55.0,13.0,21.0,5.0,103.0,179.0,13.0,12.0,25.0,10.0,5.0,
