Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
24,"Amiss, Jye",21y 290d,57 (28-1-28 50.00%),96 (1.68),←,
41,"Banfield, Bailey",27y 80d,104 (50-2-52 49.04%),66 (0.63),←,
15,"Bolton, Shai",26y 160d,144 (73-4-67 52.08%),177 (1.23),9 (5-0-4 55.56%),12 (1.33)
8,"Brayshaw, Andrew",25y 190d,156 (73-2-81 47.44%),54 (0.35),←,
5,"Chapman, Heath",23y 106d,51 (29-2-20 58.82%),2 (0.04),←,
6,"Clark, Jordan",24y 213d,112 (64-2-46 58.04%),23 (0.21),80 (43-2-35 55.00%),8 (0.10)
36,"Cox, Brennan",26y 277d,121 (55-1-65 45.87%),32 (0.26),←,
43,"Dudley, Isaiah",22y 17d,8 (5-0-3 62.50%),6 (0.75),←,
28,"Erasmus, Neil",21y 166d,27 (12-0-15 44.44%),2 (0.07),←,
32,"Frederick, Michael",25y,88 (50-1-37 57.39%),101 (1.15),←,
9,"Jackson, Luke",23y 230d,105 (62-2-41 60.00%),76 (0.72),53 (25-1-27 48.11%),46 (0.87)
44,"Johnson, Matthew",22y 62d,47 (21-1-25 45.74%),8 (0.17),←,
25,"Pearce, Alex",29y 342d,132 (64-2-66 49.24%),7 (0.05),←,
16,"Reid, Murphy",18y 291d,10 (5-0-5 50.00%),10 (1.00),←,
13,"Ryan, Luke",29y 100d,165 (78-2-85 47.88%),3 (0.02),←,
3,"Serong, Caleb",24y 97d,113 (58-2-53 52.21%),31 (0.27),←,
14,"Sharp, Jeremy",23y 277d,56 (25-1-30 45.54%),20 (0.36),33 (17-1-15 53.03%),13 (0.39)
29,"Simpson, Cooper",20y 93d,4 (3-0-1 75.00%),1 (0.25),←,
39,"Switkowski, Sam",28y 178d,95 (47-1-47 50.00%),57 (0.60),←,
35,"Treacy, Josh",22y 286d,66 (37-1-28 56.82%),97 (1.47),←,
20,"Voss, Patrick",21y 322d,13 (6-0-7 46.15%),13 (1.00),←,
34,"Wagner, Corey",28y 55d,47 (15-1-31 32.98%),6 (0.13),28 (13-1-14 48.21%),
23,"Worner, Karl",22y 335d,17 (9-0-8 52.94%),,←,
Totals,Totals,24y 134d,1738 (869-28-841 50.00%),888 (0.51),,
C,"Longmuir, Justin",44y 116d,117 (58-2-57 50.43%),,←,
