Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",29y 290d,143 (94-1-48 66.08%),21 (0.15),←,
46,"Blicavs, Mark",34y 99d,285 (188-3-94 66.49%),75 (0.26),←,
12,"Bowes, Jack",27y 160d,133 (50-2-81 38.35%),38 (0.29),50 (29-1-20 59.00%),24 (0.48)
5,"Cameron, Jeremy",32y 95d,270 (143-3-124 53.52%),700 (2.59),99 (66-0-33 66.67%),273 (2.76)
45,"Close, Brad",26y 340d,117 (79-1-37 67.95%),102 (0.87),←,
35,"Dangerfield, Patrick",35y 91d,351 (211-2-138 60.40%),356 (1.01),197 (130-2-65 66.50%),193 (0.98)
28,"Dempsey, Oliver",22y 179d,48 (30-0-18 62.50%),46 (0.96),←,
22,"Duncan, Mitch",34y 25d,305 (216-2-87 71.15%),185 (0.61),←,
39,"Guthrie, Zach",27y 5d,118 (75-2-41 64.41%),15 (0.13),←,
38,"Henry, Jack",26y 310d,154 (103-1-50 67.21%),24 (0.16),←,
36,"Henry, Oliver",22y 341d,84 (48-1-35 57.74%),119 (1.42),59 (34-1-24 58.47%),91 (1.54)
9,"Holmes, Max",22y 310d,92 (59-1-32 64.67%),42 (0.46),←,
17,"Humphries, Lawson",22y 162d,26 (19-0-7 73.08%),4 (0.15),←,
7,"Mannagh, Shaun",27y 333d,25 (19-0-6 76.00%),31 (1.24),←,
19,"Martin, Jack",30y 157d,155 (54-2-99 35.48%),134 (0.86),4 (3-0-1 75.00%),1 (0.25)
32,"Miers, Gryan",26y 97d,145 (95-1-49 65.86%),107 (0.74),←,
34,"Mullin, Oisin",25y 144d,33 (18-0-15 54.55%),,←,
33,"Neale, Shannon",22y 345d,36 (23-0-13 63.89%),46 (1.28),←,
42,"OConnor, Mark",28y 169d,138 (91-0-47 65.94%),10 (0.07),←,
14,"OSullivan, Connor",20y 47d,16 (11-0-5 68.75%),,←,
1,"Stanley, Rhys",34y 216d,221 (130-2-89 59.28%),113 (0.51),163 (109-2-52 67.48%),73 (0.45)
15,"Stevens, George",20y 82d,1 (1-0-0 100.00%),1 (1.00),←,
44,"Stewart, Tom",32y 112d,182 (119-1-62 65.66%),5 (0.03),←,
Totals,Totals,27y 195d,3078 (1876-25-1177 60.95%),2174 (0.71),,
C,"Scott, Chris",49y 63d,350 (237-3-110 68.14%),,←,
