Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",29y 230d,252 (141-0-111 55.95%),246 (0.98),←,
29,"Bramble, Lachlan",27y 84d,71 (33-2-36 47.89%),8 (0.11),41 (24-0-17 58.54%),6 (0.15)
17,"Coffield, Nick",25y 262d,64 (30-1-33 47.66%),2 (0.03),12 (8-0-4 66.67%),
31,"Dale, Bailey",28y 355d,172 (95-0-77 55.23%),87 (0.51),←,
10,"Darcy, Sam",21y 358d,39 (22-0-17 56.41%),72 (1.85),←,
42,"Davidson, Sam",23y 211d,16 (9-0-7 56.25%),10 (0.63),←,
26,"Dolan, Josh",18y 243d,11 (6-0-5 54.55%),1 (0.09),←,
44,"English, Tim",27y 336d,148 (82-0-66 55.41%),87 (0.59),←,
27,"Freijah, Joel",19y 240d,30 (19-0-11 63.33%),14 (0.47),←,
38,"Garcia, Riley",24y 163d,33 (17-0-16 51.52%),13 (0.39),←,
6,"Hynes, Cooper",19y 134d,8 (6-0-2 75.00%),4 (0.50),←,
39,"Johannisen, Jason",32y 246d,206 (108-0-98 52.43%),77 (0.37),←,
8,"Kennedy, Matthew",28y 97d,135 (66-3-66 50.00%),76 (0.56),17 (10-0-7 58.82%),19 (1.12)
21,"Liberatore, Tom",33y 57d,251 (126-0-125 50.20%),91 (0.36),←,
7,"Lobb, Rory",32y 153d,193 (107-2-84 55.96%),175 (0.91),53 (31-0-22 58.49%),32 (0.60)
33,"Naughton, Aaron",25y 224d,160 (89-0-71 55.63%),262 (1.64),←,
18,"ODonnell, James",22y 315d,42 (23-0-19 54.76%),7 (0.17),←,
25,"Poulter, Caleb",22y 273d,31 (14-0-17 45.16%),8 (0.26),19 (11-0-8 57.89%),6 (0.32)
20,"Richards, Ed",26y 9d,142 (76-0-66 53.52%),51 (0.36),←,
9,"Sanders, Ryley",20y 172d,30 (17-0-13 56.67%),12 (0.40),←,
23,"Vandermeer, Laitham",26y 159d,83 (46-0-37 55.42%),44 (0.53),←,
14,"West, Rhylee",25y,75 (44-0-31 58.67%),71 (0.95),←,
34,"Williams, Bailey",27y 275d,168 (92-0-76 54.76%),42 (0.25),←,
Totals,Totals,25y 247d,2360 (1268-8-1084 53.73%),1460 (0.62),,
C,"Beveridge, Luke",54y 323d,247 (140-0-107 56.68%),,←,
