Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
7,"Cunningham, Harry",22y 160d,60 (42-0-18 70.00%),35 (0.58),←,
23,"Franklin, Lance",29y 105d,229 (145-1-83 63.54%),740 (3.23),47 (36-0-11 76.60%),160 (3.40)
39,"Grundy, Heath",29y 347d,195 (122-2-71 63.08%),23 (0.12),←,
4,"Hannebery, Dan",25y 80d,152 (99-2-51 65.79%),75 (0.49),←,
5,"Heeney, Isaac",20y 9d,22 (15-0-7 68.18%),31 (1.41),←,
29,"Hewett, George",20y 137d,7 (6-0-1 85.71%),8 (1.14),←,
17,"Hiscox, Jack",21y 52d,1 (0-0-1 0.00%),,←,
15,"Jack, Kieren",28y 321d,193 (120-3-70 62.95%),134 (0.69),←,
10,"Jones, Zak",21y 60d,21 (13-0-8 61.90%),2 (0.10),←,
11,"Laidler, Jeremy",26y 283d,76 (53-1-22 70.39%),7 (0.09),50 (38-0-12 76.00%),5 (0.10)
44,"Lloyd, Jake",22y 237d,51 (38-0-13 74.51%),13 (0.25),←,
3,"McVeigh, Jarrad",31y 37d,271 (166-4-101 61.99%),186 (0.69),←,
14,"Mills, Callum",19y 42d,8 (6-0-2 75.00%),,←,
6,"Mitchell, Tom",22y 349d,47 (29-0-18 61.70%),27 (0.57),←,
41,"Papley, Tom",19y 306d,8 (6-0-2 75.00%),11 (1.38),←,
26,"Parker, Luke",23y 202d,109 (74-1-34 68.35%),85 (0.78),←,
24,"Rampe, Dane",25y 347d,80 (55-1-24 69.38%),5 (0.06),←,
25,"Richards, Ted",33y 124d,258 (158-4-96 62.02%),33 (0.13),225 (139-4-82 62.67%),14 (0.06)
18,"Sinclair, Callum",26y 234d,36 (28-1-7 79.17%),24 (0.67),7 (6-0-1 85.71%),6 (0.86)
40,"Smith, Nick",27y 337d,149 (94-2-53 63.76%),9 (0.06),←,
8,"Tippett, Kurt",29y 6d,160 (93-0-67 58.13%),314 (1.96),56 (40-0-16 71.43%),126 (2.25)
22,"Towers, Dean",26y 10d,21 (14-0-7 66.67%),10 (0.48),←,
Totals,Totals,25y 56d,2154 (1376-22-756 63.88%),1772 (0.82),,
C,"Longmire, John",45y 135d,131 (89-2-40 68.70%),,←,
