Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Athorn, Mark",5,,3,8,,,1.0,,,,,,,,,,,,,,,,
32,"Baldwin, Jason",18,1,6,24,,,,2.0,,,,,3.0,,,,,,,,,,
18,"Blakey, John",8,5,9,17,,,1.0,,,,,,,1.0,,,,,,,,,
49,"Bunn, Mark",5,1,1,6,,,,1.0,,,,,1.0,,,,,,,,,,
40,"Clayton, Scott",17,2,2,19,,,,,,,,,,1.0,,,,,,,,,
36,"Dundas, Matthew",7,,3,10,,,,5.0,,,,,2.0,1.0,,,,,,,,,
7,"Gale, Michael",14,6,9,23,,,,1.0,,,,,,,,,,,,,,,
43,"Johnston, Andrew",5,,,5,,,,3.0,,,,,2.0,,,,,,,,,,
21,"Kappler, Darren",5,1,1,6,,,,1.0,,,,,,,,,,,,,,,
11,"Lynch, Alastair",10,10,,10,5,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
44,"Osborne, Richard",6,1,1,7,3,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
3,"Pert, Gary",11,3,4,15,,,1.0,2.0,,,,,3.0,1.0,,,,,,,,,
9,"Rendell, Matthew",9,6,8,17,,,17.0,,,,,,3.0,,,,,,,,,,
1,"Roos, Paul",11,2,4,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
20,"Rowe, Duane",4,2,5,9,,,,1.0,,,,,2.0,,,,,,,,,,
33,"Stephens, Brett",8,3,4,12,,,,,,,,,,1.0,,,,,,,,,
31,"Strooper, David",9,4,3,12,,,,1.0,,,,,1.0,1.0,,,,,,,,,
39,"Trewella, Mark",8,2,3,11,,1.0,,1.0,,,,,3.0,3.0,,,,,,,,,
30,"Waterson, Chris",7,2,3,10,1,,,1.0,,,,,1.0,,,,,,,,,,
34,"Woods, Tony",15,3,7,22,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,54,76,258,9,8.0,22.0,24.0,,,,,25.0,16.0,,,,,,,,,
Opposition,Opposition,227,84,177,404,17,9.0,13.0,28.0,,,,,16.0,25.0,6.0,,,,,,,,
