Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",17,5,18,35,,1.0,,3.0,,,,,2.0,3.0,,,,,,,,,
38,"Barrow, Gary",7,3,8,15,1,,,,,,,,1.0,1.0,,,,,,,,,
18,"Cameron, Leon",14,,8,22,,,,2.0,,,,,3.0,3.0,,,,,,,,,
11,"Corcoran, Shannon",14,6,6,20,,,,2.0,,,,,,3.0,,,,,,,,,
31,"Darcy, Anthony",7,2,6,13,,,,1.0,,,,,,1.0,,,,,,,,,
26,"Del-Re, Danny",7,4,5,12,3,,,,,,,,,1.0,,,,,,,,,
29,"Grant, Chris",19,13,3,22,3,3.0,,,,,,,1.0,2.0,,,,,,,,,
28,"Grgic, Ilija",9,8,2,11,4,1.0,3.0,1.0,,,,,,1.0,1.0,,,,,,,,
7,"Hawkins, Doug",19,10,8,27,,,,,,,,,4.0,,3.0,,,,,,,,
4,"Kellett, Nigel",14,5,2,16,,1.0,,2.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",12,3,13,25,1,,,8.0,,,,,2.0,2.0,,,,,,,,,
43,"Nicholson, Brad",6,2,6,12,1,,,1.0,,,,,1.0,3.0,,,,,,,,,
22,"Quill, Peter",18,3,8,26,1,1.0,,3.0,,,,,,,,,,,,,,,
33,"Royal, Brian",10,3,5,15,5,2.0,,,,,,,2.0,2.0,,,,,,,,,
34,"Sexton, Ben",6,3,2,8,,,,1.0,,,,,2.0,5.0,,,,,,,,,
17,"Standfield, Barry",6,7,5,11,,1.0,1.0,,,,,,,2.0,,,,,,,,,
42,"Thorpe, Alan",5,3,1,6,,,,,,,,,2.0,1.0,,,,,,,,,
8,"Toohey, Bernard",15,4,5,20,,,,1.0,,,,,1.0,1.0,,,,,,,,,
14,"West, Scott",14,7,14,28,2,3.0,,2.0,,,,,3.0,,,,,,,,,,
15,"Wynd, Scott",6,7,11,17,1,,25.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,225,98,136,361,22,14.0,29.0,28.0,,,,,25.0,33.0,6.0,,,,,,,,
Opposition,Opposition,193,79,110,303,13,6.0,10.0,46.0,,,,,33.0,25.0,,,,,,,,,
