Notes,Previous,Current
Port Adelaide's highest score,"87 v Collingwood - R1,1997","188 v Hawthorn - R13,2005"
Port Adelaide's lowest score conceded,"93 v Essendon - R2,1997","20 v Gold Coast - R23,2017"
