Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",23y 173d,40 (25-2-13 65.00%),34 (0.85),←,
8,"Bewick, Darren",27y 252d,143 (88-1-54 61.89%),228 (1.59),←,
14,"Calthorpe, David",21y 256d,31 (18-0-13 58.06%),25 (0.81),←,
9,"Cockatoo-Collins, Che",20y 56d,18 (10-1-7 58.33%),30 (1.67),←,
23,"Cransberg, Peter",27y 275d,60 (36-2-22 61.67%),53 (0.88),←,
38,"Denham, Sean",26y 1d,101 (58-2-41 58.42%),43 (0.43),57 (34-2-21 61.40%),22 (0.39)
31,"Fletcher, Dustin",19y 358d,34 (23-2-9 70.59%),4 (0.12),←,
28,"Flood, David",26y 67d,55 (33-0-22 60.00%),36 (0.65),←,
30,"Fraser, Mark",24y 85d,48 (28-1-19 59.38%),23 (0.48),3 (2-1-0 83.33%),
29,"Grenvold, David",29y 55d,93 (61-2-30 66.67%),16 (0.17),←,
5,"Hird, James",22y 85d,45 (27-2-16 62.22%),72 (1.60),←,
13,"Long, Michael",25y 211d,107 (70-1-36 65.89%),74 (0.69),←,
2,"Mercuri, Mark",21y 68d,41 (26-2-13 65.85%),53 (1.29),←,
24,"Misiti, Joe",20y 172d,46 (28-2-16 63.04%),21 (0.46),←,
46,"Moorcroft, Gary",19y 14d,1 (1-0-0 100.00%),,←,
41,"OConnor, Ryan",20y 307d,7 (4-1-2 64.29%),5 (0.71),←,
10,"ODonnell, Gary",29y 353d,162 (100-2-60 62.35%),54 (0.33),←,
19,"Somerville, Peter",26y 296d,81 (50-1-30 62.35%),67 (0.83),←,
12,"Symons, Michael",23y 226d,45 (29-1-15 65.56%),57 (1.27),←,
4,"Wanganeen, Gavin",21y 316d,88 (50-2-36 57.95%),39 (0.44),←,
35,"Young, Barry",24y 308d,73 (31-1-41 43.15%),40 (0.55),20 (12-1-7 62.50%),17 (0.85)
Totals,Totals,23y 344d,1319 (796-28-495 60.35%),974 (0.74),,
C,"Sheedy, Kevin",47y 127d,334 (216-3-115 65.12%),,←,
