Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 90d,69 (29-2-38 43.48%),40 (0.58),←,
50,"Ballantyne, Jon",22y 237d,8 (4-0-4 50.00%),22 (2.75),←,
35,"Baxter, Darren",27y 3d,105 (47-3-55 46.19%),17 (0.16),←,
6,"Campbell, Tony",24y 222d,76 (40-0-36 52.63%),61 (0.80),1 (1-0-0 100.00%),
1,"Charles, Justin",21y 176d,28 (14-1-13 51.79%),19 (0.68),←,
20,"Coleman, Glenn",31y 48d,166 (88-2-76 53.61%),92 (0.55),41 (20-1-20 50.00%),28 (0.68)
11,"Corcoran, Shannon",21y 29d,8 (4-0-4 50.00%),,←,
32,"Foster, Peter",31y 294d,151 (78-3-70 52.65%),56 (0.37),144 (75-3-66 53.13%),54 (0.38)
29,"Grant, Chris",19y 100d,36 (18-1-17 51.39%),70 (1.94),←,
7,"Hawkins, Doug",31y 322d,266 (107-4-155 40.98%),164 (0.62),←,
4,"Kellett, Nigel",22y 95d,21 (9-0-12 42.86%),4 (0.19),←,
21,"Kolyniuk, Steven",21y 261d,44 (21-1-22 48.86%),48 (1.09),←,
39,"Liberatore, Tony",26y 40d,60 (32-1-27 54.17%),36 (0.60),←,
27,"Macpherson, Stephen",27y 111d,139 (65-3-71 47.84%),135 (0.97),←,
34,"Sexton, Ben",19y 145d,6 (3-1-2 58.33%),10 (1.67),←,
31,"Smith, Rohan",18y 296d,1 (1-0-0 100.00%),,←,
17,"Standfield, Barry",22y 38d,11 (5-0-6 45.45%),,←,
8,"Toohey, Bernard",29y 33d,224 (111-1-112 49.78%),111 (0.50),1 (1-0-0 100.00%),
24,"Wallis, Stephen",27y 147d,178 (91-2-85 51.69%),40 (0.22),←,
15,"Wynd, Scott",22y 57d,56 (24-1-31 43.75%),11 (0.20),←,
Totals,Totals,24y 192d,1653 (791-26-836 47.85%),936 (0.57),,
C,"Wheeler, Terry",37y 9d,45 (22-1-22 50.00%),,←,
