Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Barker, John",10,8,8,18,1,1.0,,,2.0,1.0,,,2.0,,,5.0,12.0,1.0,2.0,1.0,1.0,,65.0
10,"Bateman, Chance",15,4,2,17,1,,,1.0,,3.0,,,1.0,,,2.0,15.0,,,3.0,,1.0,75.0
20,"Beaumont, Simon",10,4,3,13,,,,,,,,1.0,1.0,,,4.0,10.0,1.0,,3.0,1.0,1.0,97.0
30,"Brown, Campbell",9,6,13,22,,,,2.0,4.0,1.0,3.0,1.0,1.0,,,7.0,15.0,1.0,,1.0,2.0,,100.0
25,"Clarke, Tim",11,7,11,22,1,,,3.0,1.0,4.0,,2.0,,,,5.0,17.0,1.0,2.0,,,,100.0
9,"Crawford, Shane",14,8,18,32,1,,1.0,4.0,2.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,24.0,,,2.0,1.0,2.0,87.0
24,"Croad, Trent",15,8,13,28,,,,1.0,2.0,3.0,3.0,2.0,2.0,2.0,,11.0,20.0,1.0,,1.0,,,100.0
19,"Dixon, Ben",3,2,5,8,1,,,2.0,1.0,,2.0,,,,,6.0,2.0,1.0,1.0,1.0,,,62.0
1,"Everitt, Peter",17,8,6,23,2,1.0,29.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,12.0,11.0,2.0,,3.0,,2.0,100.0
38,"Franklin, Lance",8,6,6,14,1,1.0,,1.0,,3.0,,3.0,1.0,3.0,,5.0,10.0,1.0,1.0,2.0,2.0,1.0,93.0
3,"Hay, Jonathan",1,,3,4,,,,,,,,,,,,,3.0,,,1.0,,,78.0
15,"Hodge, Luke",14,3,3,17,1,,1.0,3.0,7.0,3.0,2.0,5.0,,2.0,,6.0,11.0,2.0,,3.0,,,100.0
18,"Ladson, Rick",5,3,5,10,,,,3.0,,3.0,3.0,1.0,1.0,,,5.0,5.0,,,1.0,,1.0,53.0
40,"Lewis, Jordan",9,3,9,18,,,,3.0,1.0,1.0,,1.0,3.0,,,6.0,12.0,,,2.0,,1.0,91.0
14,"Miller, Harry",13,4,6,19,1,,1.0,2.0,1.0,3.0,1.0,4.0,,,,5.0,14.0,1.0,1.0,1.0,1.0,,95.0
5,"Mitchell, Sam",21,5,15,36,,1.0,,7.0,3.0,4.0,8.0,3.0,5.0,2.0,3.0,18.0,18.0,,,1.0,,2.0,94.0
7,"Osborne, Michael",9,4,6,15,1,,,1.0,,3.0,5.0,3.0,,3.0,,6.0,9.0,,,2.0,,,56.0
16,"Ries, Nick",5,5,11,16,,,,2.0,1.0,1.0,,,,,,2.0,15.0,,,4.0,,,56.0
35,"Roughead, Jarryd",1,3,6,7,1,,,2.0,,,1.0,1.0,,,,1.0,6.0,,1.0,3.0,,,65.0
43,"Taylor, Simon",4,2,4,8,,,9.0,,1.0,,1.0,2.0,1.0,,,2.0,6.0,,,,,,47.0
21,"Vandenberg, Richard",15,11,14,29,,,,4.0,2.0,1.0,3.0,1.0,1.0,,,7.0,23.0,,,1.0,,1.0,86.0
6,"Williams, Mark",9,7,2,11,6,2.0,,1.0,,,,2.0,1.0,,,4.0,7.0,1.0,7.0,1.0,,1.0,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,111,169,387,18,7.0,41.0,44.0,29.0,47.0,40.0,39.0,22.0,15.0,6.0,126.0,265.0,13.0,15.0,37.0,8.0,13.0,
Opposition,Opposition,146,54,83,229,10,9.0,34.0,52.0,30.0,39.0,23.0,45.0,15.0,22.0,,114.0,114.0,5.0,9.0,41.0,13.0,7.0,
