Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
5,"Bond, Shane",22y 16d,51 (34-0-17 66.67%),27 (0.53),17 (10-0-7 58.82%),7 (0.41)
3,"Breuer, Shayne",24y 318d,88 (56-1-31 64.20%),93 (1.06),17 (10-0-7 58.82%),16 (0.94)
26,"Burgoyne, Peter",19y 177d,11 (7-0-4 63.64%),9 (0.82),←,
36,"Carter, Stephen",23y 170d,9 (6-0-3 66.67%),,←,
44,"Cotton, Jarrod",21y 113d,4 (3-0-1 75.00%),4 (1.00),←,
6,"Cummings, Scott",23y 188d,56 (35-2-19 64.29%),139 (2.48),16 (10-0-6 62.50%),56 (3.50)
28,"Daniels, Stephen",20y 325d,5 (4-0-1 80.00%),,←,
19,"Dickie, Donald",25y 78d,17 (10-0-7 58.82%),4 (0.24),←,
25,"Eagleton, Nathan",18y 257d,13 (8-0-5 61.54%),7 (0.54),←,
8,"Francis, Fabian",23y 274d,36 (15-0-21 41.67%),21 (0.58),13 (8-0-5 61.54%),4 (0.31)
10,"Francou, Josh",22y 352d,17 (10-0-7 58.82%),12 (0.71),←,
12,"Heaver, Brent",26y 40d,83 (57-1-25 69.28%),127 (1.53),7 (4-0-3 57.14%),9 (1.29)
39,"Heuskes, Adam",21y 127d,66 (35-0-31 53.03%),6 (0.09),17 (10-0-7 58.82%),
38,"James, Roger",21y 277d,13 (8-0-5 61.54%),5 (0.38),←,
20,"Lade, Brendon",21y 15d,17 (10-0-7 58.82%),9 (0.53),←,
33,"Mead, Darren",26y 118d,17 (10-0-7 58.82%),1 (0.06),←,
14,"Paxman, Stephen",26y 233d,119 (32-0-87 26.89%),18 (0.15),17 (10-0-7 58.82%),
30,"Poole, Darryl",25y 115d,8 (4-0-4 50.00%),8 (1.00),←,
2,"Primus, Matthew",22y 194d,37 (11-0-26 29.73%),9 (0.24),17 (10-0-7 58.82%),4 (0.24)
1,"Wanganeen, Gavin",24y 37d,143 (83-3-57 59.09%),76 (0.53),16 (10-0-6 62.50%),13 (0.81)
15,"Wilson, Michael",20y 246d,17 (10-0-7 58.82%),10 (0.59),←,
Totals,Totals,22y 349d,827 (448-7-372 54.17%),585 (0.71),,
C,"Cahill, John",57y 89d,64 (37-0-27 57.81%),,17 (10-0-7 58.82%),
