Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
5,"Boyd, Matthew",28y 351d,182 (91-2-89 50.55%),62 (0.34),←,
4,"Cross, Daniel",28y 136d,177 (87-3-87 50.00%),27 (0.15),←,
40,"Dahlhaus, Luke",18y 357d,9 (4-0-5 44.44%),10 (1.11),←,
33,"Djerrkura, Nathan",22y 328d,11 (4-0-7 36.36%),2 (0.18),7 (2-0-5 28.57%),2 (0.29)
13,"Giansiracusa, Daniel",29y 155d,210 (98-4-108 47.62%),246 (1.17),←,
16,"Griffen, Ryan",25y 17d,140 (77-1-62 55.36%),95 (0.68),←,
28,"Hall, Barry",34y 186d,286 (145-3-138 51.22%),731 (2.56),36 (19-0-17 52.78%),120 (3.33)
25,"Hargrave, Ryan",30y 18d,191 (92-4-95 49.21%),36 (0.19),←,
7,"Higgins, Shaun",23y 162d,84 (44-1-39 52.98%),94 (1.12),←,
30,"Howard, Christian",20y 147d,5 (1-0-4 20.00%),1 (0.20),←,
15,"Hudson, Ben",32y 170d,142 (85-1-56 60.21%),15 (0.11),87 (53-1-33 61.49%),9 (0.10)
19,"Jones, Liam",20y 170d,22 (9-0-13 40.91%),20 (0.91),←,
21,"Liberatore, Tom",19y 89d,13 (4-0-9 30.77%),4 (0.31),←,
37,"Markovic, Lukas",24y 220d,13 (5-0-8 38.46%),,←,
38,"Morris, Dale",28y 227d,151 (85-2-64 56.95%),3 (0.02),←,
2,"Murphy, Robert",29y 65d,206 (93-4-109 46.12%),152 (0.74),←,
42,"Picken, Liam",25y 12d,62 (34-0-28 54.84%),20 (0.32),←,
23,"Roughead, Jordan",20y 283d,14 (8-0-6 57.14%),5 (0.36),←,
24,"Schofield, Jayden",19y 91d,4 (2-0-2 50.00%),,←,
18,"Stack, Brennan",23y 79d,21 (11-0-10 52.38%),17 (0.81),←,
14,"Ward, Callan",21y 125d,57 (30-0-27 52.63%),31 (0.54),←,
29,"Wood, Easton",21y 343d,26 (13-0-13 50.00%),4 (0.15),←,
Totals,Totals,24y 336d,2026 (1022-25-979 50.44%),1575 (0.78),,
C,"Eade, Rodney",53y 131d,314 (169-4-141 54.46%),,162 (88-2-72 54.94%),
