Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Akermanis, Jason",15,1.0,2.0,17,1.0,2.0,,2.0,1.0,5.0,1.0,1.0,1.0,1.0,,3,11.0,,,2.0,1.0,,98.0
20,"Black, Simon",14,2.0,10.0,24,,2.0,,11.0,1.0,6.0,10.0,1.0,1.0,1.0,,16,7.0,,1.0,4.0,1.0,1.0,100.0
36,"Bradshaw, Daniel",5,3.0,4.0,9,,1.0,3.0,2.0,,1.0,,3.0,1.0,,,5,4.0,,2.0,2.0,,,100.0
16,"Brown, Jonathan",7,6.0,6.0,13,4.0,,,2.0,,4.0,,3.0,2.0,1.0,,7,7.0,3.0,2.0,,,,100.0
19,"Charman, Jamie",4,2.0,4.0,8,,,31.0,,1.0,1.0,3.0,4.0,1.0,3.0,,5,3.0,1.0,,2.0,,,61.0
30,"Copeland, Robert",3,,3.0,6,,,,1.0,2.0,,1.0,2.0,,,,2,3.0,,,5.0,,,100.0
14,"Hadley, Richard",6,1.0,4.0,10,,,1.0,8.0,1.0,1.0,,3.0,1.0,2.0,,5,5.0,,,,,,74.0
2,"Johnson, Chris",4,,5.0,9,,,,8.0,11.0,1.0,2.0,2.0,2.0,2.0,,4,4.0,,,4.0,,,100.0
44,"Lappin, Nigel",18,5.0,5.0,23,1.0,2.0,,7.0,,8.0,3.0,1.0,1.0,,2.0,7,17.0,,1.0,4.0,,1.0,100.0
23,"Leppitsch, Justin",4,1.0,2.0,6,,,,3.0,2.0,,1.0,1.0,1.0,1.0,,5,1.0,,,1.0,,,49.0
26,"Macdonald, Joel",11,5.0,4.0,15,,,,2.0,3.0,2.0,,4.0,1.0,1.0,,6,9.0,1.0,,1.0,,,100.0
9,"McGrath, Ashley",6,,2.0,8,,2.0,,5.0,,2.0,1.0,4.0,1.0,,,4,4.0,,,1.0,,1.0,100.0
25,"McLaren, Dylan",2,,7.0,9,1.0,,13.0,3.0,,1.0,5.0,2.0,2.0,1.0,,9,,,,1.0,,,39.0
15,"Michael, Mal",4,,1.0,5,,,3.0,2.0,5.0,,,1.0,,,,4,,,,6.0,,,100.0
8,"Notting, Tim",2,1.0,4.0,6,1.0,,,3.0,,2.0,,1.0,,1.0,,2,4.0,,,,,,48.0
13,"Pike, Martin",8,1.0,7.0,15,1.0,1.0,,3.0,,6.0,2.0,2.0,,1.0,,9,6.0,,,1.0,,,83.0
6,"Power, Luke",10,2.0,5.0,15,,,,7.0,1.0,1.0,5.0,2.0,,,,9,7.0,,,2.0,,,100.0
37,"Pratt, Daniel",5,3.0,,5,,,,5.0,,1.0,,,1.0,,,2,3.0,,,2.0,,,38.0
5,"Scott, Brad",5,1.0,8.0,13,,,,4.0,,1.0,3.0,,1.0,,,6,9.0,,,2.0,1.0,1.0,76.0
22,"Scott, Chris",5,,3.0,8,,,,1.0,4.0,1.0,1.0,5.0,1.0,2.0,,4,3.0,,,4.0,,,67.0
3,"Voss, Michael",13,7.0,10.0,23,,1.0,,4.0,3.0,2.0,1.0,2.0,1.0,,,6,17.0,,2.0,2.0,,1.0,88.0
33,"White, Darryl",5,2.0,3.0,8,,,2.0,2.0,,1.0,,4.0,,1.0,,5,3.0,1.0,,2.0,,,79.0
Totals,Totals,156,43.0,99.0,255,9.0,11.0,53.0,85.0,35.0,47.0,39.0,48.0,19.0,18.0,2.0,125,127.0,6.0,8.0,48.0,3.0,5.0,
Opposition,Opposition,203,91.0,114.0,317,13.0,14.0,28.0,71.0,38.0,51.0,40.0,41.0,18.0,19.0,4.0,136,174.0,6.0,12.0,50.0,3.0,8.0,
