Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Beaumont, Simon",13,3,4,17,,,1.0,3.0,3.0,2.0,1.0,1.0,,,,7.0,10.0,,,,,,
21,"Bradley, Craig",1,,2,3,,,,,,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,,,
20,"Brown, Fraser",8,3,5,13,1,,,1.0,,4.0,4.0,1.0,1.0,,,4.0,10.0,,2.0,,,,
16,"Camporeale, Scott",20,2,9,29,,1.0,,,5.0,6.0,4.0,4.0,1.0,3.0,2.0,12.0,16.0,,,1.0,2.0,,
32,"Culpitt, Heath",6,,4,10,1,,,1.0,,3.0,,3.0,2.0,,,3.0,7.0,,,,,,
31,"Fletcher, Simon",8,3,5,13,,,,1.0,5.0,2.0,1.0,1.0,2.0,,,5.0,7.0,,,3.0,,,
45,"Franchina, Anthony",10,2,1,11,,1.0,,3.0,1.0,2.0,,,1.0,3.0,,3.0,8.0,,1.0,2.0,,,
17,"Freeborn, Scott",4,2,8,12,,,,3.0,2.0,1.0,,2.0,1.0,,,7.0,6.0,,,,,,
4,"Hamill, Aaron",7,6,6,13,,,,3.0,,3.0,2.0,3.0,1.0,,,5.0,9.0,1.0,,4.0,,,
37,"Hotton, Trent",7,2,5,12,,,1.0,,,6.0,2.0,,1.0,,,10.0,2.0,,,2.0,,,
33,"Houlihan, Ryan",9,4,11,20,1,1.0,,1.0,,4.0,2.0,2.0,1.0,1.0,,11.0,9.0,,,1.0,,,
27,"Hulme, Darren",5,1,8,13,,,,3.0,3.0,,4.0,2.0,1.0,,,9.0,4.0,,,3.0,,,
43,"Koutoufides, Anthony",2,1,2,4,,,,,,1.0,,1.0,,,,3.0,1.0,,,,,,
12,"Lappin, Matthew",9,1,5,14,1,,,4.0,1.0,3.0,,1.0,1.0,1.0,,6.0,7.0,,,1.0,,,
22,"Manton, Glenn",4,2,4,8,,,2.0,1.0,2.0,,,1.0,,1.0,,4.0,4.0,1.0,,,,,
5,"McKay, Andrew",12,4,3,15,,1.0,,4.0,4.0,2.0,1.0,3.0,1.0,,,4.0,12.0,,,5.0,,,
26,"OReilly, Stephen",9,2,1,10,,,4.0,1.0,1.0,2.0,1.0,2.0,2.0,,,5.0,5.0,,,1.0,,,
11,"Porter, Mark",4,8,8,12,2,,28.0,2.0,,2.0,,1.0,1.0,,,8.0,4.0,4.0,2.0,1.0,,,
7,"Ratten, Brett",22,4,14,36,1,,,1.0,1.0,7.0,14.0,1.0,1.0,1.0,,19.0,18.0,,,,,,
23,"Rice, Dean",9,2,4,13,,,,,1.0,4.0,2.0,3.0,2.0,,,7.0,5.0,,,3.0,,,
1,"Silvagni, Stephen",16,13,5,21,2,1.0,,1.0,6.0,3.0,,3.0,1.0,,,6.0,15.0,2.0,2.0,1.0,,,
8,"Whitnall, Lance",10,5,4,14,3,2.0,1.0,1.0,,2.0,,2.0,1.0,3.0,,6.0,8.0,2.0,4.0,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,70,118,313,12,11.0,37.0,34.0,35.0,60.0,39.0,38.0,22.0,13.0,2.0,146.0,168.0,10.0,11.0,31.0,2.0,,
Opposition,Opposition,214,89,136,350,16,13.0,24.0,38.0,42.0,58.0,25.0,31.0,13.0,22.0,4.0,139.0,206.0,15.0,18.0,26.0,15.0,,
