Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",11,4,2,13,1,,3.0,4.0,,,,,2.0,3.0,,,,,,,,,
14,"Armstrong, Matt",8,2,1,9,,,,2.0,,,,,,,,,,,,,,,
32,"Baldwin, Jason",4,1,3,7,,,,4.0,,,,,1.0,,,,,,,,,,
18,"Blakey, John",8,2,7,15,,1.0,1.0,6.0,,,,,,2.0,,,,,,,,,
17,"Broderick, Paul",7,2,6,13,,,,4.0,,,,,,2.0,,,,,,,,,
22,"Caven, Peter",8,4,2,10,,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,
2,"Dundas, Matthew",18,3,4,22,1,,,,,,,,2.0,1.0,,,,,,,,,
7,"Gale, Michael",7,,7,14,,,,2.0,,,,,1.0,2.0,2.0,,,,,,,,
6,"Guard, Jeremy",9,4,5,14,3,,,1.0,,,,,2.0,2.0,,,,,,,,,
19,"Harding, Dean",3,,,3,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",9,5,1,10,3,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
29,"Lyon, Ross",12,2,7,19,1,2.0,,4.0,,,,,2.0,1.0,,,,,,,,,
5,"McCormack, Brendan",2,1,4,6,,,,1.0,,,,,1.0,,,,,,,,,,
21,"Morrish, Paul",1,1,6,7,,,,4.0,,,,,,1.0,,,,,,,,,
4,"Paxman, Stephen",6,5,4,10,1,1.0,12.0,3.0,,,,,2.0,1.0,,,,,,,,,
1,"Roos, Paul",15,3,3,18,1,,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Seecamp, Marcus",6,1,4,10,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
33,"Stephens, Brett",9,3,13,22,1,,,3.0,,,,,,,,,,,,,,,
12,"Wheildon, Darren",7,6,5,12,,2.0,,,,,,,1.0,2.0,,,,,,,,,
8,"Wynd, Jim",14,3,13,27,,,,2.0,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,164,52,97,261,13,14.0,17.0,46.0,,,,,23.0,23.0,3.0,,,,,,,,
Opposition,Opposition,181,63,82,263,13,11.0,27.0,29.0,,,,,23.0,23.0,3.0,,,,,,,,
