Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",30y 17d,242 (116-1-125 48.14%),160 (0.66),←,
26,"Bonner, Riley",21y 164d,23 (15-0-8 65.22%),3 (0.13),←,
33,"Byrne-Jones, Darcy",22y 332d,63 (34-0-29 53.97%),6 (0.10),←,
7,"Ebert, Brad",28y 138d,234 (109-1-124 46.79%),114 (0.49),158 (81-1-76 51.58%),81 (0.51)
24,"Farrell, Kane",19y 154d,4 (1-0-3 25.00%),5 (1.25),←,
9,"Gray, Robbie",30y 141d,198 (95-0-103 47.98%),293 (1.48),←,
46,"Gray, Sam",26y 198d,75 (44-0-31 58.67%),63 (0.84),←,
36,"Hombsch, Jack",25y 164d,97 (50-0-47 51.55%),1 (0.01),88 (50-0-38 56.82%),1 (0.01)
43,"Houston, Dan",21y 98d,38 (23-0-15 60.53%),4 (0.11),←,
32,"Howard, Dougal",22y 146d,29 (17-0-12 58.62%),4 (0.14),←,
31,"Johnson, Aidyn",20y 291d,10 (6-0-4 60.00%),8 (0.80),←,
42,"Jonas, Tom",27y 221d,120 (62-1-57 52.08%),1 (0.01),←,
40,"Lienert, Jarrod",24y 13d,5 (1-0-4 20.00%),,←,
6,"Motlop, Steven",27y 159d,155 (102-2-51 66.45%),186 (1.20),20 (12-0-8 60.00%),11 (0.55)
29,"Pittard, Jasper",27y 139d,125 (66-0-59 52.80%),11 (0.09),←,
21,"Polec, Jared",25y 310d,105 (59-0-46 56.19%),54 (0.51),89 (52-0-37 58.43%),45 (0.51)
11,"Rockliff, Tom",28y 177d,172 (57-0-115 33.14%),94 (0.55),18 (11-0-7 61.11%),7 (0.39)
4,"Ryder, Paddy",30y 157d,225 (112-4-109 50.67%),155 (0.69),55 (33-0-22 60.00%),38 (0.69)
23,"Watts, Jack",27y 145d,171 (55-2-114 32.75%),161 (0.94),18 (9-0-9 50.00%),18 (1.00)
39,"Westhoff, Justin",31y 321d,247 (118-1-128 47.98%),286 (1.16),←,
16,"Wines, Ollie",23y 315d,128 (71-0-57 55.47%),56 (0.44),←,
20,"Wingard, Chad",25y 20d,146 (76-1-69 52.40%),232 (1.59),←,
Totals,Totals,25y 306d,2612 (1289-13-1310 49.35%),1897 (0.73),,
C,"Hinkley, Ken",51y 322d,136 (77-0-59 56.62%),,←,
