Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bennett, Darren",9,6,1,10,3,2.0,1.0,,,,,,,1.0,,,,,,,,,
24,"Beveridge, Luke",16,1,5,21,3,,,3.0,,,,,2.0,1.0,,,,,,,,,
30,"Bryce, Paul",1,,,1,,,,,,,,,,,,,,,,,,,
4,"Campbell, Tony",3,1,,3,,,,,,,,,,,,,,,,,,,
32,"Clark, Steven",7,,5,12,,,,2.0,,,,,3.0,2.0,,,,,,,,,
48,"Cuthbertson, Darren",11,7,4,15,7,2.0,,,,,,,,2.0,2.0,,,,,,,,
23,"Dyson, Kevin",21,4,7,28,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
21,"Febey, Steven",7,,3,10,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
14,"Grinter, Rod",17,2,1,18,,,,,,,,,2.0,,,,,,,,,,
45,"Jackson, Ricky",10,3,7,17,4,1.0,,,,,,,,1.0,,,,,,,,,
31,"Keogh, Rod",10,,4,14,,1.0,,,,,,,2.0,,,,,,,,,,
16,"Lovell, Andy",2,,5,7,1,,,2.0,,,,,,2.0,,,,,,,,,
17,"Lovett, Brett",11,5,13,24,,,,6.0,,,,,1.0,3.0,,,,,,,,,
6,"Lovett, Glenn",14,3,8,22,,,,1.0,,,,,3.0,2.0,,,,,,,,,
7,"Owen, Rod",14,7,8,22,5,,,,,,,,2.0,3.0,3.0,,,,,,,,
41,"Rohde, Peter",4,1,1,5,,,,,,,,,,1.0,,,,,,,,,
5,"Spalding, Earl",8,,12,20,2,1.0,5.0,1.0,,,,,1.0,2.0,,,,,,,,,
18,"Stretch, Steven",15,5,4,19,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
11,"Stynes, Jim",19,8,9,28,1,1.0,14.0,,,,,,2.0,2.0,1.0,,,,,,,,
12,"Viney, Todd",18,2,7,25,1,,,2.0,,,,,,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,55,104,321,28,14.0,21.0,20.0,,,,,22.0,29.0,6.0,,,,,,,,
Opposition,Opposition,183,52,120,303,17,10.0,10.0,19.0,,,,,29.0,22.0,,,,,,,,,
