Notes,Previous,Current
Greater Western Sydney's highest score,"107 v Port Adelaide - R19,2012","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"34 v Port Adelaide - R19,2012","126 v Essendon - R23,2023"
