Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
1,"Anderson, Greg",27y 49d,116 (75-0-41 64.66%),70 (0.60),13 (8-0-5 61.54%),10 (0.77)
26,"Bickley, Mark",23y 332d,53 (27-0-26 50.94%),14 (0.26),←,
51,"Bone, Randall",19y 231d,5 (3-0-2 60.00%),7 (1.40),←,
34,"Hart, Ben",18y 358d,35 (19-0-16 54.29%),5 (0.14),←,
17,"Hodges, Scott",25y 67d,32 (17-0-15 53.13%),88 (2.75),←,
35,"Jameson, Rod",23y 2d,45 (25-0-20 55.56%),77 (1.71),←,
2,"Jarman, Andrew",27y 169d,49 (26-0-23 53.06%),27 (0.55),←,
13,"Lee, Scott",30y 27d,56 (29-0-27 51.79%),16 (0.29),←,
27,"Liptak, Matthew",23y 63d,45 (25-0-20 55.56%),60 (1.33),←,
18,"Maynard, Rodney",26y 284d,57 (29-0-28 50.88%),14 (0.25),←,
10,"McDermott, Chris",29y 240d,56 (29-0-27 51.79%),19 (0.34),←,
11,"McGuinness, Tony",29y 57d,162 (78-2-82 48.77%),158 (0.98),53 (28-0-25 52.83%),50 (0.94)
6,"Modra, Tony",24y 123d,21 (12-0-9 57.14%),95 (4.52),←,
52,"Rehn, Shaun",21y 319d,33 (18-0-15 54.55%),9 (0.27),←,
32,"Ricciuto, Mark",18y 24d,9 (5-0-4 55.56%),1 (0.11),←,
5,"Robran, Matthew",22y 105d,16 (9-0-7 56.25%),12 (0.75),9 (5-0-4 55.56%),7 (0.78)
3,"Rowe, Stephen",27y 241d,22 (12-0-10 54.55%),23 (1.05),←,
7,"Smart, Nigel",24y 42d,49 (25-0-24 51.02%),11 (0.22),←,
12,"Tregenza, Simon",22y 115d,43 (23-0-20 53.49%),8 (0.19),←,
49,"Viska, Mark",22y 64d,5 (4-0-1 80.00%),1 (0.20),←,
Totals,Totals,24y 127d,909 (490-2-417 53.91%),715 (0.79),,
C,"Cornes, Graham",45y 93d,57 (29-0-28 50.88%),,←,
