Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",15,2,8,23,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
25,"Bews, Andrew",4,1,6,10,,,,,,,,,1.0,,,,,,,,,,
30,"Bourke, Damian",5,3,,5,,,1.0,,,,,,,,,,,,,,,,
1,"Champion, Richard",10,9,1,11,1,,1.0,3.0,,,,,,2.0,,,,,,,,,
16,"Clarke, Matthew",5,2,1,6,,,6.0,1.0,,,,,1.0,4.0,,,,,,,,,
6,"Fletcher, Adrian",10,3,14,24,,,,2.0,,,,,1.0,1.0,3.0,,,,,,,,
4,"Gastev, John",4,,3,7,,,,1.0,,,,,3.0,1.0,,,,,,,,,
14,"Hamilton, Shane",7,1,4,11,,,,1.0,,,,,,1.0,,,,,,,,,
32,"Hart, Shaun",5,4,4,9,2,,,,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",11,2,4,15,,1.0,,,,,,,,1.0,,,,,,,,,
18,"Lambert, Craig",6,,15,21,,,,3.0,,,,,,2.0,,,,,,,,,
44,"Lappin, Nigel",3,2,8,11,,,,3.0,,,,,,1.0,,,,,,,,,
23,"Leppitsch, Justin",2,,,2,,2.0,,,,,,,1.0,,,,,,,,,,
17,"Leslie, Martin",5,3,4,9,,,,3.0,,,,,3.0,,,,,,,,,,
2,"McAdam, Gilbert",8,2,6,14,,,,1.0,,,,,2.0,4.0,,,,,,,,,
7,"McIvor, Scott",7,6,7,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",7,2,6,13,,,,,,,,,,,,,,,,,,,
24,"Merrett, Roger",11,7,2,13,4,4.0,1.0,1.0,,,,,3.0,2.0,,,,,,,,,
8,"Peos, Paul",10,5,,10,,6.0,,2.0,,,,,,1.0,,,,,,,,,
22,"Scott, Chris",9,5,6,15,,1.0,1.0,,,,,,1.0,5.0,,,,,,,,,
3,"Voss, Michael",12,2,3,15,,,,1.0,,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,156,61,102,258,8,17.0,10.0,24.0,,,,,22.0,29.0,3.0,,,,,,,,
Opposition,Opposition,176,76,92,268,7,16.0,10.0,27.0,,,,,29.0,22.0,3.0,,,,,,,,
