West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Braun, Michael",13,6,9,22,,1.0,,3.0,,9.0,,1.0,2.0,,,7.0,16.0,,,1.0,,,90.0
17,"Chick, Daniel",3,1,3,6,1,,,2.0,2.0,,,1.0,,,,3.0,2.0,,,5.0,,,54.0
20,"Cox, Dean",9,7,7,16,,,25.0,2.0,3.0,,3.0,4.0,2.0,1.0,,6.0,10.0,1.0,1.0,2.0,1.0,,86.0
32,"Embley, Andrew",11,6,2,13,2,2.0,,2.0,,3.0,,3.0,1.0,,,7.0,7.0,1.0,4.0,4.0,1.0,,94.0
7,"Fletcher, Chad",12,3,6,18,,,,2.0,2.0,6.0,2.0,1.0,2.0,,,7.0,12.0,1.0,,,2.0,1.0,82.0
23,"Glass, Darren",5,4,3,8,,,,,2.0,,,1.0,,1.0,,5.0,3.0,3.0,,4.0,1.0,,91.0
22,"Graham, Jaymie",7,5,1,8,1,,,2.0,,3.0,,1.0,,1.0,,1.0,6.0,,1.0,1.0,,,68.0
39,"Hunter, Adam",9,3,3,12,,,,3.0,7.0,1.0,1.0,3.0,1.0,2.0,,3.0,8.0,,,7.0,,,91.0
25,"Hurn, Shannon",5,2,4,9,,,,,4.0,1.0,,3.0,1.0,,,5.0,4.0,,,1.0,,,69.0
38,"Jones, Brett",2,1,3,5,,,,3.0,1.0,,1.0,,,,,3.0,3.0,,,1.0,,,67.0
18,"Jones, Rowan",7,5,15,22,1,1.0,1.0,2.0,2.0,,3.0,6.0,1.0,2.0,,10.0,12.0,,2.0,,,,93.0
3,"Judd, Chris",18,3,15,33,1,,,6.0,,11.0,12.0,2.0,3.0,1.0,3.0,17.0,13.0,,,,5.0,,97.0
4,"Kerr, Daniel",9,1,8,17,,,,8.0,,3.0,2.0,2.0,1.0,1.0,,8.0,7.0,,,3.0,,,79.0
21,"Lynch, Quinten",4,1,4,8,,1.0,1.0,1.0,,1.0,,1.0,,,,4.0,4.0,,,2.0,1.0,,81.0
24,"Rosa, Matt",17,6,4,21,1,,,1.0,5.0,2.0,2.0,2.0,3.0,1.0,,7.0,14.0,,,3.0,3.0,,78.0
28,"Sampi, Ashley",5,1,4,9,,1.0,,4.0,,2.0,1.0,2.0,,,,6.0,1.0,,1.0,,,,66.0
14,"Seaby, Mark",4,2,5,9,2,,18.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,,7.0,2.0,1.0,1.0,,,,72.0
37,"Selwood, Adam",11,4,12,23,,,,1.0,3.0,1.0,3.0,,2.0,,,6.0,16.0,,,1.0,,,72.0
41,"Staker, Brent",13,5,8,21,3,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,2.0,,10.0,10.0,3.0,2.0,2.0,1.0,1.0,98.0
5,"Stenglein, Tyson",8,,6,14,,1.0,,4.0,1.0,1.0,3.0,3.0,1.0,1.0,,10.0,5.0,,,5.0,3.0,,100.0
44,"Wirrpanda, David",10,3,2,12,,1.0,,,4.0,,,2.0,1.0,1.0,,4.0,9.0,1.0,1.0,1.0,1.0,,88.0
13,"Wooden, Josh",11,5,4,15,,,,1.0,2.0,4.0,1.0,4.0,,1.0,,4.0,10.0,,,,1.0,3.0,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,74,128,321,12,11.0,46.0,55.0,40.0,52.0,37.0,45.0,23.0,16.0,3.0,140.0,174.0,11.0,13.0,43.0,20.0,5.0,
Opposition,Opposition,233,136,127,360,12,16.0,21.0,60.0,37.0,50.0,32.0,43.0,16.0,23.0,3.0,116.0,243.0,10.0,11.0,36.0,11.0,5.0,
