St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",26y 349d,113 (68-1-44 60.62%),92 (0.81),30 (10-1-19 35.00%),18 (0.60)
34,"Bailey, Doug",22y 222d,10 (3-0-7 30.00%),2 (0.20),←,
14,"Bardsley, Kristian",21y 306d,16 (5-1-10 34.38%),11 (0.69),11 (3-1-7 31.82%),7 (0.64)
21,"Bourke, Darren",24y 113d,21 (9-0-12 42.86%),8 (0.38),←,
3,"Burke, Nathan",24y 160d,155 (66-2-87 43.23%),45 (0.29),←,
10,"Everitt, Peter",20y 74d,24 (9-1-14 39.58%),29 (1.21),←,
2,"Frawley, Danny",30y 311d,219 (75-2-142 34.70%),13 (0.06),←,
24,"Frost, Michael",23y 199d,24 (8-1-15 35.42%),5 (0.21),11 (1-1-9 13.64%),2 (0.18)
6,"Grant, David",27y 343d,178 (64-1-113 36.24%),75 (0.42),←,
35,"Harvey, Robert",22y 329d,109 (53-2-54 49.54%),68 (0.62),←,
17,"Keogh, Rod",23y 113d,33 (15-0-18 45.45%),12 (0.36),11 (3-0-8 27.27%),4 (0.36)
37,"Lappin, Matthew",18y 149d,4 (0-1-3 12.50%),,←,
4,"Lockett, Tony",28y 129d,177 (65-0-112 36.72%),863 (4.88),←,
23,"Loewe, Stewart",26y 54d,165 (69-1-95 42.12%),244 (1.48),←,
28,"OBrien, Craig",24y 135d,48 (23-1-24 48.96%),86 (1.79),27 (9-1-17 35.19%),70 (2.59)
29,"Peckett, Justin",21y 284d,31 (13-1-17 43.55%),1 (0.03),←,
41,"Pekin, Tim",29y 175d,200 (97-2-101 49.00%),48 (0.24),93 (48-2-43 52.69%),33 (0.35)
31,"Shanahan, Jamie",26y 222d,55 (26-1-28 48.18%),,←,
39,"Shaw, Clinton",18y 72d,4 (0-1-3 12.50%),,←,
5,"Shaw, Damen",20y 85d,25 (10-1-14 42.00%),8 (0.32),←,
33,"Wakelin, Shane",19y 338d,12 (3-1-8 29.17%),4 (0.33),←,
Totals,Totals,23y 337d,1623 (681-21-921 41.96%),1614 (0.99),,
C,"Alves, Stan",48y 55d,15 (3-1-11 23.33%),,←,
