Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",30y 210d,136 (84-1-51 62.13%),43 (0.32),←,
7,"Burgoyne, Peter",31y 164d,238 (132-3-103 56.09%),193 (0.81),←,
27,"Carlile, Alipate",22y 73d,46 (21-0-25 45.65%),1 (0.02),←,
2,"Carr, Josh",29y 74d,199 (122-1-76 61.56%),108 (0.54),116 (82-1-33 71.12%),64 (0.55)
1,"Cassisi, Domenic",26y 293d,142 (81-1-60 57.39%),60 (0.42),←,
35,"Cornes, Chad",29y 242d,209 (125-1-83 60.05%),161 (0.77),←,
18,"Cornes, Kane",26y 188d,177 (103-1-73 58.47%),74 (0.42),←,
41,"Davenport, Jason",23y 311d,5 (2-0-3 40.00%),4 (0.80),←,
33,"Ebert, Brett",25y 236d,113 (56-1-56 50.00%),170 (1.50),←,
17,"Gray, Robbie",21y 104d,29 (12-0-17 41.38%),39 (1.34),←,
29,"Krakouer, Nathan",21y 68d,26 (15-0-11 57.69%),7 (0.27),←,
5,"Lade, Brendon",33y 2d,227 (126-3-98 56.17%),178 (0.78),←,
44,"Logan, Tom",24y 10d,51 (21-0-30 41.18%),15 (0.29),48 (21-0-27 43.75%),15 (0.31)
6,"Pearce, Danyle",23y 96d,86 (40-0-46 46.51%),52 (0.60),←,
36,"Pettigrew, Michael",24y 118d,90 (41-0-49 45.56%),25 (0.28),←,
15,"Rodan, David",25y 277d,125 (49-0-76 39.20%),102 (0.82),60 (30-0-30 50.00%),59 (0.98)
3,"Salopek, Steven",24y 21d,91 (47-0-44 51.65%),43 (0.47),←,
14,"Stewart, Paul",22y 2d,13 (4-0-9 30.77%),1 (0.08),←,
9,"Surjan, Jacob",23y 331d,81 (42-0-39 51.85%),12 (0.15),←,
28,"Thurstans, Toby",28y 332d,105 (61-1-43 58.57%),55 (0.52),←,
16,"Tredrea, Warren",30y 200d,242 (138-2-102 57.44%),526 (2.17),←,
39,"Westhoff, Justin",22y 284d,44 (21-0-23 47.73%),70 (1.59),←,
Totals,Totals,25y 348d,2475 (1343-15-1117 54.26%),1939 (0.78),,
C,"Williams, Mark",50y 325d,251 (143-2-106 57.37%),,←,
