Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Ablett, Luke",14,5,7,21,,1.0,,2.0,2.0,8.0,6.0,2.0,2.0,1.0,1.0,10.0,11.0,1.0,,3.0,,,84.0
21,"Barry, Leo",7,6,4,11,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,8.0,1.0,,4.0,2.0,1.0,100.0
6,"Bolton, Craig",3,3,,3,,,,1.0,,,,,,,,,3.0,,,2.0,,,61.0
24,"Bolton, Jude",20,3,12,32,,,,5.0,2.0,6.0,10.0,6.0,,3.0,,18.0,14.0,,,,,2.0,88.0
32,"Buchanan, Amon",7,3,8,15,1,1.0,,5.0,,4.0,3.0,1.0,,1.0,,5.0,12.0,,1.0,,,1.0,95.0
23,"Chambers, Paul",,,2,2,,,9.0,1.0,1.0,,2.0,1.0,1.0,,,2.0,,,,2.0,,,24.0
28,"Crouch, Jared",12,1,6,18,,2.0,,1.0,1.0,1.0,4.0,2.0,1.0,,,10.0,6.0,,1.0,5.0,,,100.0
2,"Davis, Nick",16,11,8,24,3,1.0,1.0,6.0,1.0,6.0,5.0,4.0,2.0,,,8.0,18.0,1.0,5.0,1.0,,,83.0
12,"Fosdike, Nic",12,4,5,17,1,,,1.0,3.0,3.0,2.0,2.0,,,,3.0,14.0,,,,,,61.0
37,"Goodes, Adam",15,4,7,22,1,,1.0,2.0,1.0,7.0,5.0,4.0,,4.0,3.0,10.0,12.0,2.0,1.0,1.0,,,97.0
1,"Hall, Barry",16,11,4,20,5,3.0,,3.0,,2.0,,2.0,3.0,,2.0,11.0,9.0,4.0,6.0,1.0,,,100.0
16,"Jolly, Darren",7,3,2,9,,,49.0,2.0,,2.0,3.0,1.0,1.0,1.0,,6.0,3.0,1.0,,3.0,,,76.0
17,"Kennelly, Tadhg",11,3,5,16,,,,1.0,1.0,5.0,1.0,,,,,4.0,10.0,,,4.0,1.0,,92.0
31,"Kirk, Brett",9,,7,16,1,,,7.0,1.0,4.0,2.0,2.0,,2.0,,6.0,11.0,,,,,1.0,88.0
9,"Malceski, Nick",8,2,8,16,,,,2.0,2.0,2.0,4.0,3.0,,1.0,,9.0,7.0,,,2.0,,,70.0
3,"McVeigh, Jarrad",10,4,2,12,2,,,2.0,1.0,2.0,2.0,1.0,1.0,,,3.0,9.0,,,,,,78.0
5,"OKeefe, Ryan",9,4,11,20,1,,,4.0,2.0,3.0,2.0,,1.0,,,7.0,11.0,,1.0,3.0,,,86.0
19,"OLoughlin, Michael",2,1,4,6,,1.0,,,,,,1.0,,1.0,,2.0,3.0,,1.0,2.0,,,84.0
25,"Richards, Ted",6,6,10,16,,,,,,,,2.0,1.0,2.0,,6.0,11.0,,1.0,4.0,,,100.0
30,"Roberts-Thomson, Lewis",5,2,1,6,1,,,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,,,1.0,96.0
13,"Schneider, Adam",13,1,7,20,1,1.0,,4.0,,4.0,2.0,2.0,,1.0,,8.0,11.0,,,2.0,1.0,1.0,74.0
10,"Williams, Paul",12,7,7,19,,,,3.0,2.0,4.0,5.0,2.0,,1.0,,6.0,13.0,,1.0,,,,63.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,84,127,341,17,14.0,60.0,55.0,22.0,66.0,59.0,40.0,14.0,20.0,6.0,138.0,199.0,11.0,19.0,39.0,4.0,7.0,
Opposition,Opposition,158,70,137,295,14,6.0,39.0,64.0,48.0,38.0,30.0,43.0,20.0,13.0,,108.0,178.0,9.0,9.0,47.0,18.0,9.0,
