Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
46,"Baguley, Mark",25y 305d,8 (2-0-6 25.00%),,←,
2,"Bellchambers, Tom",23y 256d,44 (15-1-28 35.23%),21 (0.48),←,
22,"Carlisle, Jake",21y 172d,29 (13-0-16 44.83%),7 (0.24),←,
12,"Crameri, Stewart",24y 224d,42 (21-1-20 51.19%),67 (1.60),←,
29,"Davey, Alwyn",28y 311d,87 (40-1-46 46.55%),104 (1.20),←,
15,"Dempsey, Courtenay",25y 206d,75 (30-2-43 41.33%),18 (0.24),←,
31,"Fletcher, Dustin",37y 319d,366 (215-5-146 59.43%),69 (0.19),←,
9,"Goddard, Brendon",27y 306d,206 (127-3-76 62.38%),105 (0.51),1 (1-0-0 100.00%),1 (1.00)
21,"Heppell, Dyson",20y 312d,44 (22-1-21 51.14%),6 (0.14),←,
1,"Hibberd, Michael",23y 78d,23 (12-0-11 52.17%),2 (0.09),←,
39,"Hocking, Heath",25y 85d,81 (37-2-42 46.91%),29 (0.36),←,
26,"Hooker, Cale",24y 160d,67 (27-1-39 41.04%),5 (0.07),←,
40,"Howlett, Ben",24y 152d,58 (28-1-29 49.14%),25 (0.43),←,
18,"Hurley, Michael",22y 294d,64 (28-2-34 45.31%),75 (1.17),←,
38,"Kommer, Nick",22y 175d,1 (1-0-0 100.00%),1 (1.00),←,
17,"Melksham, Jake",21y 205d,60 (26-1-33 44.17%),27 (0.45),←,
20,"Merrett, Jackson",20y 23d,2 (1-0-1 50.00%),,←,
23,"Myers, David",23y 265d,46 (20-0-26 43.48%),12 (0.26),←,
30,"Ryder, Paddy",25y 8d,133 (58-3-72 44.74%),87 (0.65),←,
5,"Stanton, Brent",26y 325d,183 (73-3-107 40.71%),117 (0.64),←,
4,"Watson, Jobe",28y 42d,155 (64-3-88 42.26%),80 (0.52),←,
11,"Zaharakis, David",23y 29d,67 (32-1-34 48.51%),64 (0.96),←,
Totals,Totals,24y 326d,1841 (892-31-918 48.45%),921 (0.50),,
C,"Hird, James",40y 46d,46 (23-1-22 51.09%),,←,
