Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Carroll, Matt",15,5,,15,1,,,2.0,3.0,3.0,1.0,,,,,5.0,9.0,1.0,1.0,3.0,,1.0,75.0
5,"Cerra, Adam",11,3,9,20,1,,,2.0,,4.0,8.0,3.0,2.0,1.0,,12.0,9.0,,,,,,78.0
2,"Cowan, Lachlan",12,6,4,16,,,,2.0,1.0,2.0,1.0,3.0,1.0,,,5.0,10.0,1.0,,2.0,,,80.0
9,"Cripps, Patrick",17,2,12,29,,,,5.0,2.0,5.0,8.0,3.0,3.0,,2.0,14.0,9.0,,,,,1.0,80.0
30,"Curnow, Charlie",15,8,,15,3,,,1.0,,2.0,1.0,3.0,1.0,1.0,,2.0,13.0,,3.0,2.0,,1.0,94.0
12,"De Koning, Tom",6,4,6,12,,,5.0,,1.0,3.0,,2.0,3.0,2.0,,6.0,8.0,1.0,,3.0,,,75.0
15,"Docherty, Sam",8,4,10,18,1,,,3.0,3.0,2.0,3.0,1.0,3.0,,,9.0,10.0,,,4.0,,,83.0
19 ↑,"Durdin, Corey",2,,1,3,,,,,2.0,1.0,,2.0,,,,3.0,1.0,,,2.0,,,33.0
44 ↓,"Evans, Francis",5,2,3,8,1,,,4.0,,3.0,,3.0,2.0,1.0,,5.0,4.0,,1.0,,,1.0,46.0
8,"Fogarty, Lachie",8,1,3,11,,,,3.0,1.0,3.0,,3.0,1.0,1.0,,3.0,8.0,,,1.0,,1.0,79.0
26,"Haynes, Nick",8,3,5,13,,,,2.0,4.0,,,6.0,1.0,2.0,,6.0,5.0,,,4.0,,,90.0
29,"Hewett, George",9,2,10,19,,,,,,3.0,4.0,2.0,3.0,1.0,,12.0,7.0,,,1.0,,,85.0
4,"Hollands, Oliver",9,5,5,14,,,,3.0,3.0,4.0,,2.0,,1.0,,1.0,12.0,,,,,1.0,89.0
36,"Lord, Cooper",12,6,4,16,,,,4.0,2.0,4.0,4.0,1.0,,,,8.0,8.0,,,1.0,,1.0,85.0
43,"Moir, Ashton",9,4,2,11,4,,,,,2.0,,2.0,,,,2.0,7.0,,3.0,1.0,,,82.0
3,"Motlop, Jesse",5,3,5,10,,1.0,,1.0,,2.0,1.0,3.0,,1.0,,3.0,7.0,,,3.0,,,79.0
22,"OFarrell, Harry",9,4,1,10,,,,1.0,6.0,1.0,,4.0,1.0,3.0,,2.0,7.0,,,6.0,,,87.0
27,"Pittonet, Marc",2,,6,8,,,21.0,4.0,,1.0,2.0,3.0,3.0,1.0,,8.0,3.0,,,3.0,,,68.0
42,"Saad, Adam",11,1,6,17,,,,1.0,4.0,2.0,2.0,3.0,,1.0,,6.0,7.0,1.0,,2.0,2.0,,91.0
23,"Weitering, Jacob",10,8,1,11,,,,2.0,10.0,,,2.0,2.0,1.0,,4.0,8.0,1.0,,9.0,,,100.0
38,"White, Will",4,2,1,5,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,3.0,,1.0,,,1.0,72.0
6,"Williams, Zac",9,1,7,16,,,,3.0,3.0,2.0,2.0,3.0,1.0,2.0,,6.0,8.0,,,3.0,,,74.0
45,"Young, Flynn",8,3,,8,1,2.0,,4.0,2.0,,,4.0,1.0,1.0,,1.0,8.0,,1.0,3.0,,,73.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,77,101,305,12,6.0,26.0,48.0,47.0,50.0,37.0,59.0,29.0,21.0,2.0,124.0,171.0,5.0,10.0,53.0,2.0,8.0,
Opposition,Opposition,235,104,150,385,10,10.0,38.0,44.0,38.0,58.0,34.0,78.0,21.0,29.0,4.0,145.0,227.0,15.0,9.0,51.0,1.0,7.0,
