Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
15,"Allan, Ben",24y 318d,74 (49-0-25 66.22%),53 (0.72),←,
7,"Ayres, Gary",32y 335d,268 (196-1-71 73.32%),70 (0.26),←,
29,"Baxter, Darren",28y 163d,147 (75-3-69 52.04%),29 (0.20),18 (12-0-6 66.67%),1 (0.06)
5,"Collins, Andrew",28y 126d,144 (104-0-40 72.22%),33 (0.23),←,
3,"Condon, Anthony",25y 266d,101 (72-0-29 71.29%),35 (0.35),←,
26,"Cooper, Paul",25y 145d,47 (32-0-15 68.09%),6 (0.13),←,
9,"Crawford, Shane",18y 354d,19 (12-0-7 63.16%),16 (0.84),←,
14,"Dear, Greg",30y 134d,136 (102-0-34 75.00%),18 (0.13),←,
19,"Dunstall, Jason",29y 15d,188 (143-0-45 76.06%),904 (4.81),←,
16,"Gowers, Andrew",24y 140d,65 (46-0-19 70.77%),37 (0.57),←,
6,"Hall, Tony",28y 347d,96 (74-0-22 77.08%),141 (1.47),←,
17,"Hudson, Paul",23y 40d,72 (51-0-21 70.83%),151 (2.10),←,
11,"Jarman, Darren",26y 213d,67 (45-0-22 67.16%),95 (1.42),←,
24,"Langford, Chris",30y 239d,237 (176-1-60 74.47%),31 (0.13),←,
31,"Madigan, Greg",23y 217d,33 (21-0-12 63.64%),2 (0.06),←,
20,"Maginness, Scott",27y 27d,88 (64-0-24 72.73%),5 (0.06),←,
36,"Nixon, Ricky",30y 148d,62 (24-0-38 38.71%),38 (0.61),7 (7-0-0 100.00%),5 (0.71)
44,"Platten, John",30y 165d,176 (129-0-47 73.30%),180 (1.02),←,
18,"Pritchard, Darrin",27y 161d,146 (106-0-40 72.60%),84 (0.58),←,
25,"Taylor, Jason",24y 340d,35 (18-0-17 51.43%),17 (0.49),28 (17-0-11 60.71%),13 (0.46)
Totals,Totals,27y 30d,2201 (1539-5-657 69.92%),1945 (0.88),,
C,"Joyce, Alan",50y 312d,92 (67-0-25 72.83%),,←,
