St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Dean",17,3,,17,,,,2.0,,,,,2.0,1.0,,,,,,,,,
30,"Bingham, Lawrence",6,4,5,11,,,6.0,3.0,,,,,1.0,1.0,,,,,,,,,
18,"Bowey, Brett",4,1,3,7,,,,3.0,,,,,,,,,,,,,,,
3,"Burke, Nathan",11,2,4,15,,,,1.0,,,,,2.0,2.0,,,,,,,,,
8,"Devonport, Craig",17,5,2,19,,2.0,,2.0,,,,,,1.0,,,,,,,,,
20,"Dwyer, Mick",12,5,13,25,,,5.0,4.0,,,,,1.0,,,,,,,,,,
10,"Everitt, Peter",5,3,3,8,1,,11.0,,,,,,1.0,,,,,,,,,,
2,"Frawley, Danny",5,,3,8,,,,,,,,,4.0,3.0,,,,,,,,,
6,"Grant, David",4,2,6,10,1,,,,,,,,1.0,,,,,,,,,,
35,"Harvey, Robert",25,3,10,35,,2.0,,2.0,,,,,3.0,,,,,,,,,,
22,"Heppell, Martin",9,2,5,14,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
25,"Hollow, Chris",12,3,6,18,,,1.0,1.0,,,,,,,,,,,,,,,
4,"Lockett, Tony",5,4,1,6,2,2.0,,,,,,,,,,,,,,,,,
23,"Loewe, Stewart",10,6,3,13,1,3.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,
28,"OBrien, Craig",14,7,3,17,2,2.0,,2.0,,,,,1.0,,,,,,,,,,
41,"Pekin, Tim",5,1,7,12,,,,1.0,,,,,,1.0,,,,,,,,,
37,"Rice, Dean",11,4,7,18,1,,,2.0,,,,,1.0,4.0,,,,,,,,,
31,"Shanahan, Jamie",5,2,1,6,,,,,,,,,,,,,,,,,,,
39,"Shaw, Damen",13,4,14,27,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
26,"Taylor, Kain",9,4,8,17,,1.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,65,104,303,8,15.0,25.0,27.0,,,,,25.0,20.0,,,,,,,,,
Opposition,Opposition,218,76,179,397,23,18.0,35.0,40.0,,,,,20.0,25.0,6.0,,,,,,,,
