North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",10,1,6,16,3,1.0,,2.0,,,,,1.0,,,,,,,,,,
5,"Anderson, Stuart",7,2,4,11,2,1.0,,1.0,,,,,1.0,,,,,,,,,,
11,"Archer, Glenn",10,6,6,16,1,,,,,,,,2.0,1.0,,,,,,,,,
26,"Bell, Peter",20,4,10,30,,,,,,,,,,,1.0,,,,,,,,
12,"Blakey, John",12,3,4,16,,,,2.0,,,,,,,,,,,,,,,
16,"Capuano, Mathew",7,2,4,11,,,2.0,,,,,,1.0,,,,,,,,,,
18,"Carey, Wayne",13,13,8,21,3,2.0,,4.0,,,,,,,2.0,,,,,,,,
27,"Crocker, Darren",5,4,3,8,,1.0,,2.0,,,,,,,,,,,,,,,
6,"Fairley, Ian",1,,,1,,,,,,,,,,,,,,,,,,,
29,"Harvey, Brent",,,1,1,,,,,,,,,,,,,,,,,,,
34,"King, David",10,3,4,14,,1.0,,2.0,,,,,2.0,2.0,,,,,,,,,
7,"Laidley, Dani",10,4,2,12,,,,2.0,,,,,,,,,,,,,,,
4,"Martyn, Mick",9,6,4,13,,,,,,,,,1.0,2.0,,,,,,,,,
31,"McKernan, Corey",13,9,6,19,,2.0,17.0,3.0,,,,,4.0,4.0,,,,,,,,,
22,"Roberts, Mark",11,3,4,15,1,1.0,,2.0,,,,,,,,,,,,,,,
3,"Rock, Anthony",14,7,3,17,3,,,2.0,,,,,1.0,,,,,,,,,,
2,"Schwass, Wayne",11,4,5,16,,,,2.0,,,,,,2.0,,,,,,,,,
8,"Scott, Robert",12,2,6,18,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
24,"Sholl, Craig",10,2,7,17,5,,,1.0,,,,,4.0,3.0,,,,,,,,,
37,"Simpson, Adam",2,,1,3,,,1.0,,,,,,,,,,,,,,,,
10,"Stevens, Anthony",13,2,4,17,3,3.0,,2.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,77,92,292,21,15.0,20.0,29.0,,,,,19.0,17.0,3.0,,,,,,,,
Opposition,Opposition,180,62,106,286,16,13.0,11.0,29.0,,,,,17.0,19.0,3.0,,,,,,,,
