Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
44,"Bandy, Daniel",24y 129d,69 (26-0-43 37.68%),54 (0.78),←,
30,"Brown, Leigh",18y 32d,3 (1-0-2 33.33%),,←,
9,"Callaghan, Craig",24y 17d,86 (25-0-61 29.07%),66 (0.77),←,
10,"Cook, Troy",23y 227d,46 (25-0-21 54.35%),11 (0.24),3 (1-0-2 33.33%),
12,"Dodd, Brad",23y 3d,29 (9-0-20 31.03%),13 (0.45),←,
18,"Fewster, Brendon",26y 82d,36 (17-0-19 47.22%),28 (0.78),3 (1-0-2 33.33%),1 (0.33)
2,"Fletcher, Adrian",30y 168d,193 (82-2-109 43.01%),90 (0.47),41 (11-0-30 26.83%),17 (0.41)
35,"Gale, Mark",23y 324d,65 (21-0-44 32.31%),18 (0.28),←,
46,"Grover, Antoni",20y 15d,5 (1-0-4 20.00%),,←,
4,"Hasleby, Paul",18y 288d,3 (1-0-2 33.33%),1 (0.33),←,
11,"Kickett, Dale",31y 327d,150 (60-0-90 40.00%),57 (0.38),104 (37-0-67 35.58%),17 (0.16)
28,"Koops, Steven",21y 246d,19 (5-0-14 26.32%),17 (0.89),←,
20,"Longmuir, Justin",19y 65d,4 (1-0-3 25.00%),3 (0.75),←,
21,"Longmuir, Troy",20y 306d,20 (6-0-14 30.00%),5 (0.25),3 (1-0-2 33.33%),2 (0.67)
8,"McManus, Shaun",24y 46d,61 (19-0-42 31.15%),37 (0.61),←,
16,"Michael, Clem",23y 254d,26 (9-0-17 34.62%),10 (0.38),←,
6,"Modra, Tony",31y 25d,141 (61-1-79 43.62%),525 (3.72),23 (6-0-17 26.09%),85 (3.70)
23,"Parker, Shane",27y 37d,91 (31-0-60 34.07%),6 (0.07),←,
36,"Prescott, Ashley",27y 197d,114 (53-1-60 46.93%),19 (0.17),24 (6-0-18 25.00%),4 (0.17)
15,"Sinclair, Jess",21y 213d,43 (11-0-32 25.58%),24 (0.56),←,
19,"Walker, James",21y 71d,16 (3-0-13 18.75%),1 (0.06),←,
26,"Waterhouse, Clive",25y 277d,67 (23-0-44 34.33%),107 (1.60),←,
Totals,Totals,24y 3d,1287 (490-4-793 38.07%),1092 (0.85),,
C,"Drum, Damian",39y 242d,25 (6-0-19 24.00%),,←,
