Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",32y 59d,261 (157-0-104 60.15%),134 (0.51),←,
16,"Brown, Leigh",23y 88d,115 (45-1-69 39.57%),45 (0.39),52 (26-1-25 50.96%),25 (0.48)
2,"Colbert, Leigh",29y 349d,196 (111-2-83 57.14%),64 (0.33),91 (49-1-41 54.40%),14 (0.15)
24,"Firrito, Michael",21y 176d,27 (14-0-13 51.85%),7 (0.26),←,
6,"Grant, Shannon",28y 33d,223 (127-2-94 57.40%),251 (1.13),165 (95-1-69 57.88%),213 (1.29)
31,"Hale, David",21y,23 (9-0-14 39.13%),10 (0.43),←,
4,"Harris, Daniel",23y 12d,56 (28-1-27 50.89%),19 (0.34),←,
29,"Harvey, Brent",27y 8d,180 (105-1-74 58.61%),215 (1.19),←,
21,"Jones, Corey",24y 85d,67 (31-0-36 46.27%),70 (1.04),←,
40,"LeCras, Brent",23y 222d,1 (0-0-1 0.00%),,←,
35,"Makepeace, Troy",26y 77d,113 (58-1-54 51.77%),29 (0.26),←,
43,"Perkins, Justin",22y 135d,1 (0-0-1 0.00%),,←,
20,"Petrie, Drew",22y 219d,71 (34-1-36 48.59%),63 (0.89),←,
3,"Rawlings, Brady",23y 346d,97 (52-0-45 53.61%),40 (0.41),←,
26,"Rocca, Saverio",31y 183d,237 (110-3-124 47.05%),704 (2.97),81 (40-1-40 50.00%),190 (2.35)
7,"Simpson, Adam",29y 95d,211 (128-1-82 60.90%),67 (0.32),←,
9,"Sinclair, Jess",26y 269d,129 (48-1-80 37.60%),57 (0.44),79 (35-1-43 44.94%),31 (0.39)
10,"Smith, Jesse",18y 235d,2 (0-0-2 0.00%),,←,
12,"Stevens, Michael",24y 196d,50 (25-0-25 50.00%),18 (0.36),33 (17-0-16 51.52%),15 (0.45)
23,"Thompson, Nathan",27y 97d,128 (60-1-67 47.27%),205 (1.60),9 (5-0-4 55.56%),13 (1.44)
36,"Watt, Shannon",24y 177d,77 (39-1-37 51.30%),4 (0.05),←,
8,"Wells, Daniel",20y 108d,49 (25-1-23 52.04%),29 (0.59),←,
Totals,Totals,25y 28d,2314 (1206-17-1091 52.12%),2031 (0.88),,
C,"Laidley, Dani",38y 56d,53 (26-1-26 50.00%),,←,
