Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",32y 30d,257 (157-0-100 61.09%),134 (0.52),←,
16,"Brown, Leigh",23y 59d,111 (45-1-65 40.99%),45 (0.41),48 (26-1-21 55.21%),25 (0.52)
2,"Colbert, Leigh",29y 320d,193 (111-2-80 58.03%),64 (0.33),88 (49-1-38 56.25%),14 (0.16)
24,"Firrito, Michael",21y 147d,23 (14-0-9 60.87%),6 (0.26),←,
6,"Grant, Shannon",28y 4d,219 (127-2-90 58.45%),242 (1.11),161 (95-1-65 59.32%),204 (1.27)
17,"Grima, Blake",20y 319d,5 (3-0-2 60.00%),1 (0.20),←,
31,"Hale, David",20y 336d,19 (9-0-10 47.37%),9 (0.47),←,
4,"Harris, Daniel",22y 348d,52 (28-1-23 54.81%),18 (0.35),←,
29,"Harvey, Brent",26y 344d,176 (105-1-70 59.94%),210 (1.19),←,
21,"Jones, Corey",24y 56d,63 (31-0-32 49.21%),68 (1.08),←,
35,"Makepeace, Troy",26y 48d,109 (58-1-50 53.67%),27 (0.25),←,
20,"Petrie, Drew",22y 190d,68 (34-1-33 50.74%),60 (0.88),←,
25,"Picioane, Lance",24y 320d,67 (35-0-32 52.24%),26 (0.39),5 (5-0-0 100.00%),
30,"Pratt, Daniel",22y 33d,8 (6-0-2 75.00%),1 (0.13),5 (5-0-0 100.00%),
26,"Rocca, Saverio",31y 154d,233 (110-3-120 47.85%),698 (3.00),77 (40-1-36 52.60%),184 (2.39)
32,"Sansbury, Eddie",21y 148d,14 (8-0-6 57.14%),5 (0.36),←,
7,"Simpson, Adam",29y 66d,207 (128-1-78 62.08%),66 (0.32),←,
9,"Sinclair, Jess",26y 240d,125 (48-1-76 38.80%),57 (0.46),75 (35-1-39 47.33%),31 (0.41)
12,"Stevens, Michael",24y 167d,46 (25-0-21 54.35%),16 (0.35),29 (17-0-12 58.62%),13 (0.45)
23,"Thompson, Nathan",27y 68d,124 (60-1-63 48.79%),198 (1.60),5 (5-0-0 100.00%),6 (1.20)
36,"Watt, Shannon",24y 148d,74 (39-1-34 53.38%),4 (0.05),←,
8,"Wells, Daniel",20y 79d,45 (25-1-19 56.67%),28 (0.62),←,
Totals,Totals,25y 15d,2238 (1206-17-1015 53.89%),1983 (0.89),,
C,"Laidley, Dani",38y 27d,49 (26-1-22 54.08%),,←,
