Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
31,"Alexander, Colin",21y 344d,25 (14-0-11 56.00%),29 (1.16),1 (0-0-1 0.00%),1 (1.00)
10,"Ashcroft, Marcus",20y 178d,46 (9-0-37 19.57%),18 (0.39),←,
22,"Bain, David",25y 324d,60 (13-0-47 21.67%),36 (0.60),←,
25,"Campbell, Matthew",28y 51d,62 (14-0-48 22.58%),21 (0.34),←,
1,"Champion, Richard",23y 342d,19 (2-0-17 10.53%),8 (0.42),←,
12,"Clarke, Troy",22y 287d,13 (1-0-12 7.69%),6 (0.46),←,
2,"Curran, Peter",29y 250d,122 (84-0-38 68.85%),204 (1.67),13 (3-0-10 23.08%),8 (0.62)
4,"Gastev, John",27y 223d,91 (31-0-60 34.07%),63 (0.69),61 (14-0-47 22.95%),32 (0.52)
14,"Hamilton, Shane",21y 216d,41 (13-0-28 31.71%),56 (1.37),14 (1-0-13 7.14%),16 (1.14)
11,"Hutton, John",25y 300d,1 (0-0-1 0.00%),3 (3.00),←,
17,"Leslie, Martin",29y 125d,54 (12-0-42 22.22%),4 (0.07),←,
16,"Luhrs, Simon",21y 277d,7 (0-0-7 0.00%),,←,
19,"McLean, Michael",27y 18d,118 (50-2-66 43.22%),34 (0.29),23 (3-0-20 13.04%),11 (0.48)
24,"Merrett, Roger",31y 337d,228 (116-2-110 51.32%),250 (1.10),79 (19-0-60 24.05%),102 (1.29)
26,"Noonan, Danny",23y 113d,18 (2-0-16 11.11%),5 (0.28),←,
5,"Owen, Rod",25y 50d,70 (21-0-49 30.00%),123 (1.76),1 (0-0-1 0.00%),1 (1.00)
44,"Palfreyman, Nigel",18y 171d,1 (0-0-1 0.00%),,←,
30,"Ryan, Matthew",24y 293d,72 (24-1-47 34.03%),60 (0.83),17 (3-0-14 17.65%),8 (0.47)
23,"Schache, Laurence",24y 156d,18 (3-0-15 16.67%),48 (2.67),←,
33,"White, Darryl",18y 283d,1 (0-0-1 0.00%),,←,
Totals,Totals,24y 235d,1067 (409-5-653 38.33%),968 (0.91),,
C,"Walls, Robert",41y 244d,222 (118-1-103 53.38%),,23 (3-0-20 13.04%),
