Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",27,9,9,36,1,1.0,1.0,4.0,12.0,6.0,1.0,4.0,1.0,,,13.0,21.0,2.0,,7.0,2.0,,100.0
7,"Brown, Nathan",20,10,3,23,2,2.0,,2.0,2.0,6.0,,4.0,2.0,1.0,,7.0,16.0,1.0,1.0,2.0,1.0,,100.0
17,"Campbell, Wayne",11,10,8,19,,,,3.0,5.0,2.0,1.0,,1.0,,,2.0,17.0,,,,,,100.0
6,"Chaffey, Mark",8,5,5,13,,,,,2.0,,,2.0,,,,3.0,10.0,,,5.0,,,91.0
14,"Fiora, Aaron",4,1,3,7,2,,1.0,2.0,1.0,2.0,,2.0,,,,1.0,6.0,,,1.0,,,30.0
19,"Fleming, Tim",10,7,6,16,1,1.0,,,,1.0,1.0,1.0,1.0,,,4.0,12.0,,,,,,69.0
2,"Gaspar, Darren",8,4,9,17,,,,2.0,1.0,1.0,1.0,2.0,,,,7.0,8.0,2.0,,3.0,,,100.0
20,"Hall, Ray",9,3,9,18,,,11.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,,12.0,6.0,1.0,,4.0,,,82.0
33,"Hartigan, Brent",9,3,8,17,,,,1.0,1.0,1.0,,1.0,1.0,,,5.0,13.0,,,3.0,3.0,1.0,100.0
44,"Houlihan, Adam",6,5,6,12,,1.0,,1.0,,1.0,,,2.0,,,6.0,6.0,1.0,2.0,4.0,,,72.0
31,"Hyde, Chris",8,5,14,22,,,,4.0,,4.0,1.0,1.0,1.0,,,7.0,15.0,,,3.0,,1.0,89.0
23,"Jackson, Daniel",3,,2,5,,,,1.0,2.0,,,,,,,2.0,3.0,,,6.0,,,82.0
28,"Johnson, Kane",8,3,12,20,,,,2.0,1.0,3.0,3.0,,,,,9.0,11.0,,,1.0,,,92.0
27,"Krakouer, Andrew",14,7,6,20,1,,,7.0,2.0,3.0,4.0,2.0,,,,5.0,15.0,,1.0,2.0,,,100.0
40,"Moore, Kelvin",3,,2,5,,,,1.0,,2.0,,1.0,1.0,1.0,,2.0,3.0,,,2.0,1.0,,53.0
16,"Morrison, Shane",2,3,4,6,,,1.0,,,1.0,,,,,,1.0,6.0,,,1.0,,1.0,51.0
35,"Newman, Chris",6,3,4,10,,,1.0,1.0,,2.0,2.0,1.0,,,,2.0,8.0,,,1.0,,,38.0
12,"Richardson, Matthew",14,8,6,20,2,6.0,,,,4.0,,3.0,1.0,1.0,,11.0,9.0,4.0,4.0,3.0,,4.0,100.0
18,"Rodan, David",13,4,8,21,2,,,4.0,2.0,4.0,1.0,2.0,,1.0,,6.0,15.0,,,1.0,2.0,,100.0
25,"Schulz, Jay",4,1,1,5,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,4.0,,,3.0,,,49.0
32,"Tivendale, Greg",14,6,9,23,,2.0,,6.0,4.0,5.0,3.0,4.0,1.0,1.0,,9.0,15.0,,,3.0,3.0,,100.0
36,"Zantuck, Ty",7,6,8,15,,1.0,,3.0,6.0,,,,1.0,,,4.0,12.0,1.0,,3.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,103,142,350,11,17.0,17.0,46.0,43.0,52.0,23.0,33.0,15.0,7.0,,119.0,231.0,12.0,8.0,58.0,12.0,7.0,
Opposition,Opposition,206,107,143,349,16,18.0,31.0,33.0,36.0,59.0,31.0,34.0,7.0,15.0,6.0,118.0,233.0,15.0,20.0,50.0,8.0,11.0,
