St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Baker, Steven",9,3,3,12,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,7.0,,,6.0,,,100.0
14,"Ball, Luke",6,1,7,13,,,,5.0,,3.0,2.0,1.0,,1.0,,6.0,8.0,,,1.0,1.0,,91.0
6,"Black, Heath",9,5,4,13,,,,1.0,4.0,3.0,1.0,2.0,,,,2.0,11.0,,,,,,75.0
27,"Blake, Jason",5,5,6,11,,1.0,6.0,1.0,,1.0,1.0,1.0,1.0,1.0,,5.0,6.0,,,2.0,1.0,,54.0
3,"Clarke, Xavier",8,4,3,11,2,2.0,,2.0,1.0,5.0,1.0,1.0,3.0,1.0,,6.0,6.0,,2.0,,2.0,,81.0
26,"Dal Santo, Nick",9,1,3,12,,,,4.0,,2.0,2.0,2.0,,1.0,,4.0,8.0,,,2.0,1.0,,92.0
9,"Gehrig, Fraser",4,3,3,7,,,,,,2.0,,4.0,,3.0,,2.0,4.0,,1.0,2.0,,,66.0
18,"Goddard, Brendon",4,5,3,7,,,1.0,1.0,2.0,2.0,,1.0,,,,,7.0,,1.0,1.0,1.0,,62.0
34,"Guerra, Brent",4,,,4,1,,,3.0,,1.0,,2.0,2.0,,,3.0,1.0,,,1.0,,,67.0
2,"Hamill, Aaron",5,4,5,10,1,1.0,,2.0,,1.0,,1.0,,1.0,,6.0,4.0,2.0,3.0,2.0,,,100.0
35,"Harvey, Robert",5,2,3,8,,,,2.0,1.0,1.0,3.0,1.0,1.0,,,4.0,4.0,,,1.0,,,61.0
7,"Hayes, Lenny",17,8,10,27,,,,7.0,2.0,3.0,2.0,3.0,2.0,1.0,,10.0,17.0,,,2.0,,,99.0
8,"Hudghton, Max",7,1,5,12,,,,2.0,1.0,,1.0,2.0,2.0,1.0,,5.0,3.0,,,6.0,,,100.0
5,"Jones, Austinn",6,1,1,7,,,,1.0,5.0,1.0,,1.0,,1.0,,,7.0,,,3.0,,,81.0
33,"Knobel, Trent",5,3,3,8,1,,5.0,2.0,,4.0,2.0,4.0,2.0,2.0,,3.0,5.0,1.0,1.0,3.0,1.0,1.0,67.0
44,"Milne, Stephen",2,1,1,3,1,,,,,2.0,,2.0,,1.0,,2.0,2.0,,,,1.0,,54.0
19,"Penny, Luke",7,7,5,12,,,,2.0,3.0,1.0,,2.0,1.0,,,7.0,5.0,4.0,,7.0,,,100.0
17,"Powell, Stephen",12,3,7,19,,,,2.0,1.0,3.0,2.0,1.0,1.0,,,8.0,11.0,,,1.0,,,81.0
12,"Riewoldt, Nick",14,13,4,18,1,,,1.0,,5.0,,6.0,2.0,,,6.0,14.0,1.0,4.0,2.0,,1.0,100.0
40,"Schwarze, Troy",13,6,1,14,,,1.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,,3.0,11.0,,,2.0,,,100.0
4,"Thompson, Andrew",5,2,8,13,,,2.0,5.0,,2.0,4.0,1.0,3.0,,,10.0,3.0,,,2.0,,,70.0
13,"Voss, Brett",7,3,6,13,,,,,6.0,,,2.0,2.0,,,6.0,7.0,,,5.0,,1.0,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,81,91,254,7,5.0,15.0,47.0,32.0,44.0,24.0,42.0,27.0,16.0,,103.0,151.0,8.0,12.0,51.0,8.0,3.0,
Opposition,Opposition,208,98,130,338,14,9.0,39.0,45.0,39.0,46.0,33.0,48.0,16.0,27.0,6.0,126.0,212.0,11.0,16.0,48.0,13.0,7.0,
