Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",25y 268d,82 (41-0-41 50.00%),11 (0.13),←,
35,"Biglands, Rhett",24y 362d,48 (27-0-21 56.25%),18 (0.38),←,
10,"Bode, Matthew",23y 64d,52 (26-0-26 50.00%),48 (0.92),23 (15-0-8 65.22%),23 (1.00)
24,"Burton, Brett",24y 120d,66 (33-0-33 50.00%),95 (1.44),←,
4,"Clarke, Matthew",28y 348d,177 (87-2-88 49.72%),28 (0.16),47 (25-0-22 53.19%),9 (0.19)
1,"Crowell, Andrew",25y 17d,37 (19-0-18 51.35%),13 (0.35),←,
11,"Doughty, Michael",23y 27d,27 (19-0-8 70.37%),13 (0.48),←,
9,"Edwards, Tyson",26y 26d,148 (77-0-71 52.03%),85 (0.57),←,
21,"Gallagher, James",22y 288d,14 (7-0-7 50.00%),6 (0.43),←,
34,"Hart, Ben",28y 54d,246 (125-1-120 51.02%),42 (0.17),←,
2,"Hewitt, Evan",24y 56d,48 (29-0-19 60.42%),28 (0.58),15 (9-0-6 60.00%),6 (0.40)
18,"Johncock, Graham",19y 315d,22 (15-0-7 68.18%),13 (0.59),←,
28,"Johnson, Kane",24y 170d,101 (54-0-47 53.47%),43 (0.43),←,
40,"Ladhams, Chris",21y 315d,25 (15-0-10 60.00%),13 (0.52),←,
3,"Massie, Kris",22y 94d,56 (34-0-22 60.71%),16 (0.29),13 (8-0-5 61.54%),4 (0.31)
16,"McGregor, Ken",21y 215d,49 (24-0-25 48.98%),20 (0.41),←,
23,"McLeod, Andrew",26y 28d,166 (86-0-80 51.81%),177 (1.07),←,
32,"Ricciuto, Mark",27y 85d,213 (104-1-108 49.06%),172 (0.81),←,
12,"Shirley, Robert",22y 84d,22 (9-0-13 40.91%),,←,
7,"Smart, Nigel",33y 103d,248 (125-1-122 50.60%),109 (0.44),←,
20,"Stenglein, Tyson",22y 47d,60 (34-0-26 56.67%),12 (0.20),←,
19,"Stevens, Mark",26y 311d,106 (63-0-43 59.43%),94 (0.89),85 (47-0-38 55.29%),74 (0.87)
Totals,Totals,24y 271d,2013 (1053-5-955 52.31%),1056 (0.52),,
C,"Ayres, Gary",41y 338d,183 (101-1-81 55.46%),,67 (36-0-31 53.73%),
