St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Baker, Steven",4,2,8,12,,,,7.0,1.0,1.0,1.0,2.0,,1.0,,9.0,3.0,1.0,,3.0,1.0,1.0,96.0
14,"Ball, Luke",13,2,9,22,,,,7.0,,5.0,7.0,4.0,5.0,1.0,,12.0,11.0,,,2.0,,,46.0
27,"Blake, Jason",,1,10,10,,,,8.0,,,1.0,1.0,1.0,1.0,,7.0,3.0,,,7.0,,,90.0
16,"Clarke, Raphael",3,3,10,13,,,,4.0,1.0,1.0,1.0,3.0,,3.0,,7.0,8.0,,,3.0,,,92.0
26,"Dal Santo, Nick",10,,7,17,,,5.0,8.0,2.0,5.0,8.0,,4.0,,,12.0,4.0,,,1.0,,1.0,89.0
43,"Dawson, Zac",4,4,11,15,,,,,1.0,1.0,,3.0,,2.0,,5.0,10.0,1.0,,12.0,,,100.0
24,"Dempster, Sean",2,1,3,5,1,1.0,,6.0,,,,,1.0,,,3.0,2.0,,,1.0,,,92.0
25,"Fisher, Sam",8,4,7,15,,,1.0,4.0,4.0,2.0,,,,,,5.0,10.0,,,12.0,,,100.0
15,"Gardiner, Michael",6,1,2,8,,,24.0,,,3.0,3.0,1.0,,1.0,,2.0,3.0,,,2.0,,,55.0
19,"Gilbert, Sam",12,5,6,18,,,,6.0,5.0,,,3.0,,2.0,,7.0,10.0,,,3.0,,,100.0
18,"Goddard, Brendon",12,5,9,21,1,,1.0,9.0,2.0,5.0,2.0,,2.0,,,6.0,14.0,1.0,1.0,3.0,,,77.0
1,"Gram, Jason",19,5,11,30,,1.0,,1.0,4.0,6.0,1.0,2.0,1.0,,,8.0,21.0,1.0,,2.0,,1.0,88.0
7,"Hayes, Lenny",13,3,11,24,1,,5.0,8.0,4.0,4.0,10.0,2.0,3.0,,,18.0,7.0,,1.0,,1.0,,84.0
38,"Jones, Clinton",11,2,4,15,1,,,10.0,,2.0,5.0,2.0,1.0,1.0,,8.0,7.0,,,2.0,,,88.0
2,"King, Steven",5,,,5,,,16.0,4.0,1.0,1.0,2.0,1.0,,1.0,,2.0,2.0,,,3.0,,1.0,45.0
23,"Koschitzke, Justin",8,4,1,9,1,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,4.0,4.0,1.0,,,,,100.0
32,"McQualter, Andrew",3,,11,14,,1.0,,7.0,,2.0,,,1.0,,,9.0,5.0,,,,,,80.0
44,"Milne, Stephen",8,2,3,11,,2.0,,4.0,,3.0,1.0,5.0,,3.0,,5.0,6.0,,2.0,,1.0,,66.0
11,"Montagna, Leigh",18,2,5,23,1,1.0,,8.0,2.0,6.0,4.0,6.0,,2.0,,10.0,12.0,,2.0,3.0,2.0,,83.0
22,"Ray, Farren",7,2,4,11,,,,3.0,,2.0,1.0,,,,,5.0,7.0,,,2.0,,1.0,62.0
12,"Riewoldt, Nick",8,5,5,13,1,1.0,,6.0,,4.0,,1.0,,1.0,,7.0,7.0,2.0,2.0,1.0,,,100.0
13,"Schneider, Adam",9,5,1,10,2,3.0,,5.0,1.0,4.0,1.0,,2.0,,,3.0,6.0,,1.0,3.0,,,66.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,58,138,321,9,14.0,53.0,118.0,29.0,58.0,49.0,38.0,23.0,19.0,,154.0,162.0,7.0,9.0,65.0,5.0,5.0,
Opposition,Opposition,186,52,168,354,12,8.0,48.0,96.0,46.0,42.0,48.0,46.0,19.0,23.0,,164.0,178.0,9.0,6.0,83.0,3.0,7.0,
