Notes,Previous,Current
Brisbane Lions's lowest score,"33 v Geelong - R5,2009","17 v Richmond - R4,2018"
Fremantle's lowest score conceded,"29 v North Melbourne - R13,2013","19 v Sydney - R13,2020"
