Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 71d,20 (11-0-9 55.00%),17 (0.85),←,
10,"Ashcroft, Marcus",24y 223d,133 (41-1-91 31.20%),79 (0.59),←,
17,"Bartlett, Trent",19y 161d,14 (9-0-5 64.29%),1 (0.07),←,
25,"Bews, Andrew",31y 291d,250 (130-1-119 52.20%),134 (0.54),43 (20-0-23 46.51%),2 (0.05)
1,"Champion, Richard",28y 21d,100 (32-1-67 32.50%),34 (0.34),←,
16,"Clarke, Matthew",22y 230d,50 (24-0-26 48.00%),6 (0.12),←,
14,"Dickfos, Danny",25y 218d,6 (5-0-1 83.33%),,←,
6,"Fletcher, Adrian",26y 208d,113 (52-0-61 46.02%),60 (0.53),68 (27-0-41 39.71%),40 (0.59)
32,"Hart, Shaun",24y 354d,88 (27-1-60 31.25%),68 (0.77),←,
27,"Keating, Clark",20y 47d,1 (1-0-0 100.00%),,←,
41,"Kennedy, Matthew",26y 91d,95 (28-0-67 29.47%),23 (0.24),←,
18,"Lambert, Craig",27y 213d,158 (49-0-109 31.01%),68 (0.43),35 (16-0-19 45.71%),15 (0.43)
44,"Lappin, Nigel",19y 319d,42 (20-0-22 47.62%),30 (0.71),←,
23,"Leppitsch, Justin",20y 217d,30 (13-0-17 43.33%),28 (0.93),←,
42,"Lynch, Tristan",22y 257d,5 (4-0-1 80.00%),,←,
2,"McAdam, Gilbert",29y 36d,98 (53-1-44 54.59%),82 (0.84),45 (23-0-22 51.11%),34 (0.76)
4,"McRae, Craig",22y 226d,25 (12-0-13 48.00%),31 (1.24),←,
22,"Scott, Chris",20y 2d,39 (18-0-21 46.15%),19 (0.49),←,
38,"Scott, Dion",26y 34d,48 (21-0-27 43.75%),33 (0.69),42 (20-0-22 47.62%),33 (0.79)
3,"Voss, Michael",20y 303d,61 (26-0-35 42.62%),55 (0.90),←,
33,"White, Darryl",22y 328d,74 (28-1-45 38.51%),83 (1.12),←,
Totals,Totals,23y 322d,1450 (604-6-840 41.66%),851 (0.59),,
C,"Northey, John",52y 311d,262 (133-2-127 51.15%),,6 (5-0-1 83.33%),
