Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Luke",11,6,3,14,,,,2.0,3.0,1.0,,2.0,1.0,,,2.0,11.0,,,4.0,,,69.0
2,"Crouch, Brad",11,1,15,26,,1.0,,4.0,4.0,5.0,8.0,6.0,1.0,1.0,,11.0,15.0,,,,,,74.0
5,"Crouch, Matt",10,5,20,30,,,,3.0,2.0,2.0,3.0,6.0,3.0,3.0,,11.0,19.0,,,1.0,,,78.0
32,"Fogarty, Darcy",6,3,4,10,2,,,,,,1.0,2.0,1.0,1.0,,7.0,3.0,1.0,2.0,1.0,,,83.0
15,"Hartigan, Kyle",7,2,2,9,,,,,2.0,,,,1.0,,,1.0,7.0,,,3.0,,,91.0
34,"Himmelberg, Elliott",4,4,5,9,,2.0,3.0,3.0,2.0,1.0,,,,,,4.0,5.0,2.0,1.0,3.0,,,82.0
1,"Jones, Chayce",2,3,1,3,,,,,,1.0,,2.0,,1.0,,,3.0,,,1.0,,,83.0
28,"Keays, Ben",9,2,7,16,,1.0,,3.0,4.0,1.0,1.0,,,,,7.0,8.0,,,,,,83.0
8,"Kelly, Jake",9,5,6,15,,,,1.0,4.0,,,2.0,1.0,,,7.0,8.0,3.0,,3.0,,,86.0
29,"Laird, Rory",14,1,14,28,,,,2.0,3.0,3.0,3.0,3.0,2.0,1.0,,11.0,18.0,,,,,,82.0
27,"Lynch, Tom",12,5,13,25,,1.0,,2.0,3.0,2.0,,1.0,1.0,,,4.0,19.0,,1.0,2.0,,,82.0
14,"Mackay, David",8,1,9,17,,,,1.0,3.0,1.0,,,,,,8.0,7.0,1.0,,2.0,,,85.0
23,"McAdam, Shane",5,2,9,14,1,,,,,,,2.0,,,,7.0,6.0,,1.0,1.0,,,80.0
36,"McPherson, Andrew",8,2,5,13,,,,2.0,3.0,1.0,,1.0,2.0,,,7.0,7.0,,,3.0,,,78.0
43,"OBrien, Reilly",8,7,11,19,,,30.0,4.0,2.0,2.0,2.0,2.0,,,2.0,6.0,10.0,4.0,,3.0,,,85.0
26,"Schoenberg, Harry",5,1,4,9,,,,,,2.0,2.0,1.0,,,,5.0,4.0,,,,,,86.0
38,"Sholl, Lachlan",11,6,8,19,,,,1.0,5.0,1.0,3.0,2.0,1.0,,,7.0,13.0,,,1.0,,,83.0
9,"Sloane, Rory",7,1,8,15,,,,6.0,,3.0,5.0,1.0,,,,7.0,6.0,1.0,,1.0,,1.0,77.0
33,"Smith, Brodie",11,3,6,17,,1.0,,4.0,3.0,2.0,,1.0,1.0,,,4.0,11.0,,,2.0,1.0,,86.0
18,"Stengle, Tyson",4,1,3,7,,1.0,,,,1.0,1.0,,,,,2.0,5.0,,,2.0,,,75.0
12,"Talia, Daniel",3,,3,6,,,,2.0,1.0,1.0,,,1.0,,,3.0,1.0,,,4.0,,,87.0
13,"Walker, Taylor",8,6,1,9,1,1.0,,,,4.0,,3.0,1.0,1.0,,6.0,4.0,3.0,,4.0,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,67,157,330,4,9.0,33.0,40.0,44.0,34.0,29.0,37.0,17.0,8.0,2.0,127.0,190.0,15.0,5.0,41.0,1.0,1.0,
Opposition,Opposition,177,75,119,296,12,5.0,27.0,63.0,29.0,56.0,28.0,49.0,8.0,17.0,4.0,122.0,171.0,12.0,14.0,55.0,8.0,10.0,
